customer_id;Recency;Frequency;Monetary;R_score;F_score;M_score;RFM_score;Segment
579;18;1;10460,0;4;1;2;412;Other
580;72;2;25409,0;3;3;4;334;Other
581;338;1;6791,0;1;1;2;112;Other
584;140;1;2775,0;2;1;1;211;Other
585;237;2;24234,0;1;3;4;134;Other
587;221;3;19483,0;2;4;4;244;Other
589;98;3;25892,0;3;4;4;344;Champions
590;10;2;16778,0;4;3;3;433;Other
591;26;1;4598,0;4;1;1;411;Other
592;29;3;20758,0;4;4;4;444;Champions
598;71;1;4594,0;3;1;1;311;Other
599;41;2;14914,0;4;3;3;433;Other
600;53;3;22427,0;4;4;4;444;Champions
601;147;2;18674,0;2;3;4;234;Other
603;70;2;13116,0;3;3;3;333;Other
605;265;1;2267,0;1;1;1;111;Other
606;196;1;8184,0;2;1;2;212;Other
607;185;1;12399,0;2;1;3;213;Other
608;301;1;1864,0;1;1;1;111;Other
610;162;1;8116,0;2;1;2;212;Other
611;194;2;19283,0;2;3;4;234;Other
612;312;1;1104,0;1;1;1;111;Other
616;182;2;18488,0;2;3;4;234;Other
617;298;1;10324,0;1;1;2;112;Other
618;5;2;23964,0;4;3;4;434;Champions
621;141;1;14847,0;2;1;3;213;Other
622;357;1;3751,0;1;1;1;111;Other
623;261;1;13622,0;1;1;3;113;Other
624;59;2;26573,0;4;3;4;434;Champions
626;357;1;764,0;1;1;1;111;Other
627;32;3;22094,0;4;4;4;444;Champions
628;165;2;15056,0;2;3;3;233;Other
630;290;1;3807,0;1;1;1;111;Other
631;225;1;6243,0;2;1;1;211;Other
632;219;1;8524,0;2;1;2;212;Other
634;231;1;8577,0;2;1;2;212;Other
636;61;1;14866,0;4;1;3;413;Other
637;88;3;35583,0;3;4;4;344;Champions
640;56;3;23933,0;4;4;4;444;Champions
643;182;1;1825,0;2;1;1;211;Other
644;216;3;21455,0;2;4;4;244;Other
645;209;3;31101,0;2;4;4;244;Other
646;34;2;20374,0;4;3;4;434;Champions
648;66;2;7995,0;3;3;2;332;Other
650;263;2;15915,0;1;3;3;133;Other
652;100;2;19872,0;3;3;4;334;Other
654;43;1;9821,0;4;1;2;412;Other
655;153;3;12066,0;2;4;3;243;Other
656;114;2;13428,0;3;3;3;333;Other
657;128;3;27833,0;3;4;4;344;Champions
658;173;1;2652,0;2;1;1;211;Other
659;2;3;25837,0;4;4;4;444;Champions
660;98;1;9386,0;3;1;2;312;Other
661;348;1;6867,0;1;1;2;112;Other
662;68;2;9543,0;3;3;2;332;Other
664;97;3;23087,0;3;4;4;344;Champions
665;289;1;6640,0;1;1;2;112;Other
666;257;1;10870,0;1;1;2;112;Other
667;332;1;7834,0;1;1;2;112;Other
668;57;1;1322,0;4;1;1;411;Other
671;94;3;23438,0;3;4;4;344;Champions
672;67;1;6739,0;3;1;2;312;Other
673;329;1;2574,0;1;1;1;111;Other
676;82;1;9183,0;3;1;2;312;Other
677;33;2;12078,0;4;3;3;433;Other
678;29;2;23545,0;4;3;4;434;Champions
679;244;1;1587,0;1;1;1;111;Other
680;354;2;17025,0;1;3;3;133;Other
681;135;1;4779,0;3;1;1;311;Other
682;45;2;27775,0;4;3;4;434;Champions
683;239;1;5141,0;1;1;1;111;Other
684;193;2;9372,0;2;3;2;232;Other
685;90;1;6601,0;3;1;2;312;Other
687;320;1;1873,0;1;1;1;111;Other
688;269;1;4819,0;1;1;1;111;Other
689;108;2;6518,0;3;3;2;332;Other
693;122;2;20515,0;3;3;4;334;Other
694;142;2;18453,0;2;3;4;234;Other
696;331;1;3070,0;1;1;1;111;Other
698;121;1;9447,0;3;1;2;312;Other
699;31;1;13344,0;4;1;3;413;Other
700;74;1;13354,0;3;1;3;313;Other
701;303;1;9731,0;1;1;2;112;Other
704;295;2;25578,0;1;3;4;134;Other
706;286;2;15817,0;1;3;3;133;Other
707;168;3;21125,0;2;4;4;244;Other
708;12;2;18578,0;4;3;4;434;Champions
710;338;1;8219,0;1;1;2;112;Other
711;316;1;12394,0;1;1;3;113;Other
712;246;1;13223,0;1;1;3;113;Other
713;166;1;5523,0;2;1;1;211;Other
714;33;2;12983,0;4;3;3;433;Other
715;269;1;790,0;1;1;1;111;Other
716;301;1;13675,0;1;1;3;113;Other
717;27;3;15524,0;4;4;3;443;Champions
718;41;1;7625,0;4;1;2;412;Other
720;301;1;3246,0;1;1;1;111;Other
721;10;2;28434,0;4;3;4;434;Champions
724;38;1;13055,0;4;1;3;413;Other
725;175;1;2240,0;2;1;1;211;Other
726;146;1;6384,0;2;1;1;211;Other
727;63;2;21497,0;4;3;4;434;Champions
728;183;2;17666,0;2;3;4;234;Other
729;177;1;5339,0;2;1;1;211;Other
731;69;1;9821,0;3;1;2;312;Other
732;36;4;25211,0;4;4;4;444;Champions
734;255;1;12593,0;1;1;3;113;Other
735;75;1;8846,0;3;1;2;312;Other
738;26;2;24172,0;4;3;4;434;Champions
739;40;1;5195,0;4;1;1;411;Other
740;14;2;10684,0;4;3;2;432;Loyal
742;19;3;26854,0;4;4;4;444;Champions
743;132;1;10817,0;3;1;2;312;Other
744;3;1;13265,0;4;1;3;413;Other
747;152;1;1288,0;2;1;1;211;Other
748;264;1;1321,0;1;1;1;111;Other
749;13;2;14148,0;4;3;3;433;Other
750;167;2;15999,0;2;3;3;233;Other
752;355;1;10663,0;1;1;2;112;Other
753;82;1;1731,0;3;1;1;311;Other
754;239;1;2211,0;1;1;1;111;Other
755;269;1;3907,0;1;1;1;111;Other
756;88;1;7161,0;3;1;2;312;Other
757;127;1;957,0;3;1;1;311;Other
758;49;3;14818,0;4;4;3;443;Champions
759;96;1;10740,0;3;1;2;312;Other
760;351;1;12465,0;1;1;3;113;Other
761;63;2;19316,0;4;3;4;434;Champions
762;295;1;2815,0;1;1;1;111;Other
764;112;2;25455,0;3;3;4;334;Other
766;115;2;24400,0;3;3;4;334;Other
767;135;1;2164,0;3;1;1;311;Other
768;290;1;12834,0;1;1;3;113;Other
769;223;1;4903,0;2;1;1;211;Other
770;242;2;23000,0;1;3;4;134;Other
772;242;3;23836,0;1;4;4;144;Other
773;206;1;13909,0;2;1;3;213;Other
774;7;3;31208,0;4;4;4;444;Champions
775;176;1;2399,0;2;1;1;211;Other
776;86;1;10244,0;3;1;2;312;Other
778;213;1;8775,0;2;1;2;212;Other
779;164;2;17337,0;2;3;4;234;Other
781;324;1;11076,0;1;1;2;112;Other
785;85;2;23788,0;3;3;4;334;Other
787;112;1;11281,0;3;1;2;312;Other
789;59;2;17653,0;4;3;4;434;Champions
791;338;1;5573,0;1;1;1;111;Other
792;242;1;9723,0;1;1;2;112;Other
793;227;1;9775,0;2;1;2;212;Other
794;322;1;2323,0;1;1;1;111;Other
795;153;1;13692,0;2;1;3;213;Other
797;316;2;16256,0;1;3;3;133;Other
798;36;2;16342,0;4;3;3;433;Other
799;179;3;23304,0;2;4;4;244;Other
802;146;1;2135,0;2;1;1;211;Other
803;49;1;14463,0;4;1;3;413;Other
811;360;1;12034,0;1;1;3;113;Other
812;257;1;14140,0;1;1;3;113;Other
813;254;1;5222,0;1;1;1;111;Other
815;18;1;6920,0;4;1;2;412;Other
819;37;2;15899,0;4;3;3;433;Other
820;217;1;10014,0;2;1;2;212;Other
821;243;1;6327,0;1;1;1;111;Other
822;166;2;11317,0;2;3;2;232;Other
823;196;1;1707,0;2;1;1;211;Other
824;339;1;4956,0;1;1;1;111;Other
825;125;2;12403,0;3;3;3;333;Other
826;316;1;11553,0;1;1;3;113;Other
828;145;2;20545,0;2;3;4;234;Other
829;63;3;26100,0;4;4;4;444;Champions
830;42;3;13723,0;4;4;3;443;Champions
833;29;1;11964,0;4;1;3;413;Other
835;200;3;27243,0;2;4;4;244;Other
836;120;1;13497,0;3;1;3;313;Other
837;255;1;2335,0;1;1;1;111;Other
838;244;1;4280,0;1;1;1;111;Other
839;48;3;17661,0;4;4;4;444;Champions
841;81;1;10971,0;3;1;2;312;Other
843;136;1;13951,0;3;1;3;313;Other
844;42;2;19728,0;4;3;4;434;Champions
845;64;1;4630,0;3;1;1;311;Other
846;219;1;3501,0;2;1;1;211;Other
850;227;1;5529,0;2;1;1;211;Other
851;137;1;6867,0;3;1;2;312;Other
852;16;2;15288,0;4;3;3;433;Other
853;98;1;7702,0;3;1;2;312;Other
855;280;1;8955,0;1;1;2;112;Other
859;157;2;10861,0;2;3;2;232;Other
861;44;1;5815,0;4;1;1;411;Other
862;72;5;33366,0;3;4;4;344;Champions
863;346;2;17471,0;1;3;4;134;Other
864;212;2;8818,0;2;3;2;232;Other
865;85;3;33523,0;3;4;4;344;Champions
868;202;3;13233,0;2;4;3;243;Other
869;134;4;41292,0;3;4;4;344;Champions
870;90;1;9208,0;3;1;2;312;Other
872;206;1;11865,0;2;1;3;213;Other
874;185;1;2259,0;2;1;1;211;Other
875;147;2;12826,0;2;3;3;233;Other
877;217;1;7511,0;2;1;2;212;Other
878;36;3;35403,0;4;4;4;444;Champions
879;206;1;3982,0;2;1;1;211;Other
881;64;3;20497,0;3;4;4;344;Champions
882;202;1;3981,0;2;1;1;211;Other
885;232;1;5498,0;2;1;1;211;Other
886;117;1;9098,0;3;1;2;312;Other
887;320;1;8653,0;1;1;2;112;Other
889;103;1;9664,0;3;1;2;312;Other
890;342;1;5097,0;1;1;1;111;Other
891;21;2;24167,0;4;3;4;434;Champions
892;225;1;3861,0;2;1;1;211;Other
893;94;2;5996,0;3;3;1;331;Other
895;181;1;1237,0;2;1;1;211;Other
896;31;1;1685,0;4;1;1;411;Other
897;236;1;14505,0;1;1;3;113;Other
898;20;1;6217,0;4;1;1;411;Other
899;103;1;7787,0;3;1;2;312;Other
