article_id;sku;product_type_name;colour_group_name;size;price;cost;margin;warehouse;sold_count;current_stock;stock_value
47;AYN77630;Dress;Purple;48;2685,0;1299,0;1386,0;Москва (Центральный);5;1;1299,0
48;RII87334;Blouse;Purple;44;9068,0;5280,0;3788,0;Москва (Центральный);5;0;0,0
49;KHD49696;Blouse;Blue;46;12238,0;5750,0;6488,0;Москва (Центральный);6;2;11500,0
50;HOA24564;Jeans;Grey;54;10519,0;5823,0;4696,0;Москва (Центральный);17;5;29115,0
51;LFM97105;Dress;Beige;42;10298,0;4921,0;5377,0;Москва (Центральный);3;34;167314,0
52;QIV76210;Coat;Brown;54;8351,0;4685,0;3666,0;Москва (Центральный);6;1;4685,0
53;GMW04616;Jeans;Black;40;7991,0;4764,0;3227,0;Москва (Центральный);6;1;4764,0
54;MGR07714;Jacket;Purple;40;13556,0;6474,0;7082,0;Москва (Центральный);10;2;12948,0
55;EYN02848;Jeans;Red;54;5564,0;3166,0;2398,0;Москва (Центральный);5;1;3166,0
56;RZP98675;Skirt;Navy Blue;44;11808,0;7057,0;4751,0;Москва (Центральный);12;2;14114,0
57;VOX74226;Dress;Pink;46;2844,0;1697,0;1147,0;Москва (Центральный);10;1;1697,0
58;TNQ20223;Blouse;Beige;40;5898,0;2871,0;3027,0;Москва (Центральный);5;0;0,0
59;ODG67045;Trousers;White;50;2832,0;1408,0;1424,0;Москва (Центральный);9;1;1408,0
60;KFK95687;Blouse;Beige;40;9953,0;4585,0;5368,0;Москва (Центральный);2;26;119210,0
61;JAJ78947;Shirt;Green;46;3940,0;1823,0;2117,0;Москва (Центральный);9;1;1823,0
62;OPF24036;Sweater;Grey;40;9920,0;4945,0;4975,0;Москва (Центральный);5;0;0,0
63;KEM16035;Dress;Purple;50;8367,0;3682,0;4685,0;Москва (Центральный);4;14;51548,0
64;AQD40323;Coat;Pink;50;4132,0;2240,0;1892,0;Москва (Центральный);7;1;2240,0
65;TJT82005;Blouse;Purple;42;13435,0;6815,0;6620,0;Москва (Центральный);7;1;6815,0
66;ZJQ76791;Jacket;Yellow;54;7788,0;4514,0;3274,0;Москва (Центральный);8;2;9028,0
67;ADD65267;Dress;Red;44;3331,0;1872,0;1459,0;Москва (Центральный);6;2;3744,0
68;EPT18910;Dress;Yellow;50;1132,0;526,0;606,0;Москва (Центральный);9;2;1052,0
69;IRY37066;Jacket;Yellow;48;13311,0;6671,0;6640,0;Москва (Центральный);11;3;20013,0
70;CUW61973;Sweater;Green;44;5296,0;2913,0;2383,0;Москва (Центральный);14;4;11652,0
71;LJN38819;Dress;Green;40;1593,0;699,0;894,0;Москва (Центральный);5;0;0,0
72;QVS47928;Blouse;Beige;50;2958,0;1202,0;1756,0;Москва (Центральный);7;1;1202,0
73;NML72880;Blouse;Navy Blue;50;8766,0;5001,0;3765,0;Москва (Центральный);10;3;15003,0
74;WGM63081;Coat;Purple;44;2531,0;1082,0;1449,0;Москва (Центральный);6;1;1082,0
75;FUI87209;Dress;Beige;50;12806,0;7400,0;5406,0;Москва (Центральный);3;26;192400,0
76;CSM76647;Coat;Grey;46;4757,0;2772,0;1985,0;Москва (Центральный);4;21;58212,0
77;CFR35454;Trousers;Yellow;52;13073,0;6434,0;6639,0;Москва (Центральный);7;2;12868,0
78;TIS22111;Jeans;Blue;54;9604,0;5391,0;4213,0;Москва (Центральный);5;1;5391,0
79;NTE24795;Blouse;Yellow;42;5401,0;2553,0;2848,0;Москва (Центральный);8;1;2553,0
80;HCF21052;Coat;Red;44;10244,0;5856,0;4388,0;Москва (Центральный);9;1;5856,0
81;ZOS18485;Skirt;Pink;46;9067,0;5122,0;3945,0;Москва (Центральный);6;2;10244,0
82;MLE09484;Skirt;Purple;48;4897,0;2036,0;2861,0;Москва (Центральный);4;15;30540,0
83;BQB15391;Dress;Yellow;46;12504,0;6459,0;6045,0;Москва (Центральный);8;2;12918,0
84;TPU25448;Jacket;Pink;54;7130,0;3765,0;3365,0;Москва (Центральный);7;2;7530,0
85;ZHQ67922;Shirt;Red;46;6465,0;2587,0;3878,0;Москва (Центральный);3;23;59501,0
86;REE00452;Trousers;Red;54;7986,0;4760,0;3226,0;Москва (Центральный);10;2;9520,0
87;GSS46976;Blouse;Grey;48;6865,0;3304,0;3561,0;Москва (Центральный);7;0;0,0
88;RYL56980;Jacket;Beige;48;1673,0;842,0;831,0;Москва (Центральный);3;16;13472,0
89;EHT52166;Dress;Black;42;3013,0;1323,0;1690,0;Москва (Центральный);6;1;1323,0
90;YNM00432;Skirt;Navy Blue;48;10862,0;5672,0;5190,0;Москва (Центральный);9;2;11344,0
91;CZV59962;Dress;Grey;48;14346,0;8064,0;6282,0;Москва (Центральный);12;4;32256,0
92;BTM69156;Skirt;Red;42;11086,0;5733,0;5353,0;Москва (Центральный);5;1;5733,0
93;MCJ36836;Blouse;Beige;50;11489,0;6406,0;5083,0;Москва (Центральный);9;2;12812,0
94;HYV54339;Jacket;Blue;46;1865,0;1019,0;846,0;Москва (Центральный);5;0;0,0
95;KNZ65413;Jacket;Black;50;7365,0;3296,0;4069,0;Москва (Центральный);12;2;6592,0
96;TQT25946;Jacket;Brown;48;6278,0;3058,0;3220,0;Москва (Центральный);3;19;58102,0
97;DZP21550;Shirt;Brown;44;1157,0;497,0;660,0;Москва (Центральный);10;1;497,0
98;ZXL18475;Dress;Blue;42;8321,0;3398,0;4923,0;Москва (Центральный);9;0;0,0
99;HVZ25395;Dress;Purple;46;13074,0;5395,0;7679,0;Москва (Центральный);10;2;10790,0
100;WWH74958;Trousers;Black;48;8814,0;5187,0;3627,0;Москва (Центральный);3;13;67431,0
101;HHP94153;Blouse;Yellow;40;12399,0;7401,0;4998,0;Москва (Центральный);6;1;7401,0
102;OOL31652;Dress;Purple;48;9947,0;4168,0;5779,0;Москва (Центральный);7;2;8336,0
103;UBT78368;Trousers;White;52;1065,0;497,0;568,0;Москва (Центральный);3;27;13419,0
104;ZMA55884;Dress;Brown;42;10008,0;4232,0;5776,0;Москва (Центральный);5;1;4232,0
105;NLS46149;Trousers;Grey;42;4280,0;2426,0;1854,0;Москва (Центральный);9;2;4852,0
106;ISQ88833;Jacket;Purple;54;5551,0;2771,0;2780,0;Москва (Центральный);13;2;5542,0
107;STW00699;Shirt;Beige;42;6560,0;3439,0;3121,0;Москва (Центральный);7;2;6878,0
108;TLC68469;Jacket;Red;44;11384,0;5783,0;5601,0;Москва (Центральный);4;22;127226,0
109;BUH31557;Shirt;Grey;52;5894,0;3195,0;2699,0;Москва (Центральный);8;1;3195,0
110;ECW62914;Jacket;Grey;52;3960,0;1837,0;2123,0;Москва (Центральный);8;1;1837,0
111;GGA89614;Jeans;Black;50;3954,0;1690,0;2264,0;Москва (Центральный);6;0;0,0
112;IPQ42813;Shirt;Pink;44;12484,0;5038,0;7446,0;Москва (Центральный);10;1;5038,0
113;MGO59296;Blouse;Yellow;40;6143,0;3005,0;3138,0;Москва (Центральный);4;30;90150,0
114;HOR70649;Blouse;Grey;50;1824,0;1061,0;763,0;Москва (Центральный);7;0;0,0
115;HUP36667;Shirt;Green;44;8815,0;4064,0;4751,0;Москва (Центральный);4;24;97536,0
116;RVQ96345;Jeans;Green;48;8529,0;3746,0;4783,0;Москва (Центральный);8;3;11238,0
117;TCH71159;Coat;Grey;50;11829,0;6922,0;4907,0;Москва (Центральный);9;2;13844,0
118;NXV28487;Coat;Brown;46;14941,0;6292,0;8649,0;Москва (Центральный);6;0;0,0
119;ICZ19879;Coat;Purple;54;8416,0;3454,0;4962,0;Москва (Центральный);1;18;62172,0
120;ZUJ70546;Jeans;Yellow;48;11542,0;6647,0;4895,0;Москва (Центральный);7;1;6647,0
121;RPV91208;Skirt;Navy Blue;40;1720,0;929,0;791,0;Москва (Центральный);6;2;1858,0
122;OXF08934;Trousers;White;48;13433,0;6507,0;6926,0;Москва (Центральный);10;2;13014,0
123;DYH40814;Jacket;Navy Blue;48;3882,0;2137,0;1745,0;Москва (Центральный);7;2;4274,0
124;RTY47140;Dress;Black;40;13265,0;7273,0;5992,0;Москва (Центральный);4;24;174552,0
125;MKY03498;Shirt;Yellow;44;5578,0;2276,0;3302,0;Москва (Центральный);3;5;11380,0
126;CRO93311;Skirt;Brown;44;10724,0;5740,0;4984,0;Москва (Центральный);7;1;5740,0
127;WLR65072;Coat;White;52;6800,0;3592,0;3208,0;Москва (Центральный);4;22;79024,0
128;DOB72283;Shirt;Beige;40;2223,0;1318,0;905,0;Москва (Центральный);9;2;2636,0
129;DXA81121;Blouse;Beige;46;8959,0;5316,0;3643,0;Москва (Центральный);6;2;10632,0
130;RAA72310;Dress;Black;48;1702,0;809,0;893,0;Москва (Центральный);5;1;809,0
131;TNT47515;Skirt;Green;50;12131,0;6283,0;5848,0;Москва (Центральный);8;2;12566,0
132;YBU85490;Jacket;Green;44;14898,0;6380,0;8518,0;Москва (Центральный);5;1;6380,0
133;MKR49006;Blouse;White;40;14555,0;6015,0;8540,0;Москва (Центральный);9;3;18045,0
134;BHQ53954;Dress;Black;50;10588,0;5152,0;5436,0;Москва (Центральный);7;1;5152,0
135;PCS86772;Skirt;Grey;44;6071,0;3266,0;2805,0;Москва (Центральный);8;2;6532,0
136;LFI44046;Sweater;Navy Blue;48;6221,0;3195,0;3026,0;Москва (Центральный);7;1;3195,0
137;JDX08007;Sweater;Blue;42;2960,0;1438,0;1522,0;Москва (Центральный);5;1;1438,0
138;VOP53136;Trousers;Green;46;4356,0;2455,0;1901,0;Москва (Центральный);9;3;7365,0
139;TWS96352;Skirt;Beige;48;969,0;542,0;427,0;Москва (Центральный);9;1;542,0
140;RFC83758;Shirt;Red;50;9240,0;5049,0;4191,0;Москва (Центральный);6;1;5049,0
141;VZV66098;Trousers;Green;40;6541,0;2717,0;3824,0;Москва (Центральный);10;2;5434,0
142;GES33085;Trousers;White;48;1700,0;951,0;749,0;Москва (Центральный);6;1;951,0
143;KDQ07243;Jacket;Black;40;882,0;515,0;367,0;Москва (Центральный);4;6;3090,0
144;JSU50016;Trousers;Black;48;14816,0;6103,0;8713,0;Москва (Центральный);3;27;164781,0
145;RHR44271;Jeans;Purple;48;14564,0;6996,0;7568,0;Москва (Центральный);6;1;6996,0
146;LHR46035;Dress;Red;40;7296,0;4361,0;2935,0;Москва (Центральный);4;7;30527,0
147;AHF12307;Jacket;Pink;40;1317,0;685,0;632,0;Москва (Центральный);5;1;685,0
148;EJS58808;Jacket;Pink;48;14996,0;7539,0;7457,0;Москва (Центральный);5;0;0,0
149;BAX85574;Coat;Green;44;11650,0;5073,0;6577,0;Москва (Центральный);6;2;10146,0
150;CAI86890;Blouse;Beige;40;4087,0;2097,0;1990,0;Москва (Центральный);6;2;4194,0
151;VGP53333;Blouse;Blue;40;4484,0;2187,0;2297,0;Москва (Центральный);10;2;4374,0
152;ENC59378;Dress;White;42;11476,0;4883,0;6593,0;Москва (Центральный);3;24;117192,0
153;VGD16761;Trousers;Red;42;7405,0;3650,0;3755,0;Москва (Центральный);13;2;7300,0
154;UMT74956;Dress;Green;50;8503,0;3681,0;4822,0;Москва (Центральный);10;1;3681,0
155;QWQ10432;Jeans;Grey;48;9054,0;4945,0;4109,0;Москва (Центральный);6;2;9890,0
156;BNI40808;Jacket;Purple;52;9771,0;5811,0;3960,0;Москва (Центральный);8;2;11622,0
157;WPN45784;Skirt;White;42;9450,0;4668,0;4782,0;Москва (Центральный);9;2;9336,0
158;VQI41018;Trousers;Purple;52;9731,0;5123,0;4608,0;Москва (Центральный);4;16;81968,0
159;ISN12445;Trousers;Pink;54;5550,0;2698,0;2852,0;Москва (Центральный);5;1;2698,0
160;EJH43576;Coat;Black;50;8092,0;3461,0;4631,0;Москва (Центральный);8;2;6922,0
161;BCR27698;Shirt;Black;40;7161,0;4254,0;2907,0;Москва (Центральный);4;5;21270,0
162;IPD39635;Shirt;White;48;7157,0;3048,0;4109,0;Москва (Центральный);10;3;9144,0
163;YIJ78687;Trousers;Purple;54;5267,0;2224,0;3043,0;Москва (Центральный);13;4;8896,0
164;RNQ43312;Blouse;Grey;44;8290,0;4077,0;4213,0;Москва (Центральный);6;1;4077,0
165;YMF10817;Skirt;Blue;46;10616,0;5645,0;4971,0;Москва (Центральный);5;1;5645,0
166;VWA37131;Sweater;Red;48;6469,0;3047,0;3422,0;Москва (Центральный);12;3;9141,0
167;VUV14462;Trousers;Red;48;9228,0;4047,0;5181,0;Москва (Центральный);6;1;4047,0
168;LHT45384;Jacket;Brown;50;5504,0;3103,0;2401,0;Москва (Центральный);9;1;3103,0
169;VJY94235;Jacket;Green;46;8456,0;3996,0;4460,0;Москва (Центральный);5;1;3996,0
170;ZVU12685;Trousers;Brown;44;2367,0;1039,0;1328,0;Москва (Центральный);3;21;21819,0
171;CVW27291;Jeans;Beige;52;1838,0;869,0;969,0;Москва (Центральный);8;1;869,0
172;LYF43005;Sweater;Black;46;13167,0;5832,0;7335,0;Москва (Центральный);7;1;5832,0
173;GZJ09867;Dress;Red;46;1725,0;869,0;856,0;Москва (Центральный);10;3;2607,0
174;DHV61740;Sweater;Brown;52;7526,0;4016,0;3510,0;Москва (Центральный);7;2;8032,0
175;CGV57512;Sweater;Brown;44;10947,0;6129,0;4818,0;Москва (Центральный);4;27;165483,0
176;HBK74195;Sweater;Red;52;2430,0;1083,0;1347,0;Москва (Центральный);8;2;2166,0
177;ANG14624;Trousers;Red;52;6987,0;3028,0;3959,0;Москва (Центральный);9;2;6056,0
178;RCZ05595;Jeans;Yellow;52;11192,0;4521,0;6671,0;Москва (Центральный);7;0;0,0
179;KMQ92073;Jeans;Pink;50;12690,0;5655,0;7035,0;Москва (Центральный);8;1;5655,0
180;TQU73058;Jeans;Blue;46;13413,0;5429,0;7984,0;Москва (Центральный);5;1;5429,0
181;EUM66807;Blouse;White;46;9908,0;4648,0;5260,0;Москва (Центральный);9;1;4648,0
182;LHB10959;Skirt;Navy Blue;40;9009,0;3866,0;5143,0;Москва (Центральный);7;2;7732,0
183;OGT13783;Blouse;Green;46;5992,0;3092,0;2900,0;Москва (Центральный);8;1;3092,0
184;DJX78394;Trousers;Purple;50;4043,0;1927,0;2116,0;Москва (Центральный);10;2;3854,0
185;MYN87068;Jacket;Green;48;14039,0;5878,0;8161,0;Москва (Центральный);3;8;47024,0
186;OIC63646;Skirt;Blue;44;5798,0;2783,0;3015,0;Москва (Центральный);6;1;2783,0
187;JBW39299;Sweater;Grey;44;13503,0;5967,0;7536,0;Москва (Центральный);12;3;17901,0
188;BQJ86916;Sweater;Navy Blue;50;10606,0;5685,0;4921,0;Москва (Центральный);8;2;11370,0
189;UAB73356;Trousers;Purple;52;8852,0;4186,0;4666,0;Москва (Центральный);6;1;4186,0
190;RYJ75536;Skirt;Navy Blue;44;14638,0;6286,0;8352,0;Москва (Центральный);7;1;6286,0
191;GCT43522;Jeans;Purple;42;10918,0;5131,0;5787,0;Москва (Центральный);5;1;5131,0
192;LZH94184;Blouse;Green;42;12659,0;5632,0;7027,0;Москва (Центральный);8;1;5632,0
193;XLC68330;Skirt;Blue;46;10809,0;6044,0;4765,0;Москва (Центральный);9;2;12088,0
194;OXW79675;Dress;Black;50;8183,0;4883,0;3300,0;Москва (Центральный);5;1;4883,0
195;DFD70538;Skirt;Purple;46;8928,0;3617,0;5311,0;Москва (Центральный);11;3;10851,0
196;OPC39757;Blouse;White;42;1251,0;673,0;578,0;Москва (Центральный);8;1;673,0
197;VBZ64638;Jacket;Yellow;48;1419,0;643,0;776,0;Москва (Центральный);6;1;643,0
198;UQE94901;Sweater;Black;48;12243,0;5060,0;7183,0;Москва (Центральный);5;1;5060,0
199;DEI73988;Jeans;Purple;54;11523,0;4642,0;6881,0;Москва (Центральный);4;38;176396,0
200;GQO13551;Skirt;Black;50;6472,0;3729,0;2743,0;Москва (Центральный);11;1;3729,0
201;YER76858;Trousers;Navy Blue;40;2302,0;1084,0;1218,0;Москва (Центральный);7;1;1084,0
202;ABQ56746;Trousers;Red;54;3128,0;1873,0;1255,0;Москва (Центральный);5;1;1873,0
203;MQH94862;Skirt;Navy Blue;40;1197,0;585,0;612,0;Москва (Центральный);8;1;585,0
204;BBL42637;Jacket;Red;48;3424,0;1498,0;1926,0;Москва (Центральный);7;1;1498,0
205;TWZ13534;Jacket;Brown;46;3918,0;2176,0;1742,0;Москва (Центральный);4;26;56576,0
206;GGC23628;Jeans;Beige;54;13219,0;7737,0;5482,0;Москва (Центральный);7;2;15474,0
207;EIP37454;Sweater;Red;50;6867,0;3867,0;3000,0;Москва (Центральный);6;1;3867,0
208;IAY59230;Dress;Black;40;11340,0;6226,0;5114,0;Москва (Центральный);7;2;12452,0
209;MWR45848;Dress;White;48;6176,0;2884,0;3292,0;Москва (Центральный);7;0;0,0
210;STJ45150;Sweater;Grey;50;3821,0;1578,0;2243,0;Москва (Центральный);3;10;15780,0
211;NTH96193;Skirt;Red;42;5326,0;2345,0;2981,0;Москва (Центральный);5;0;0,0
212;UIY71550;Shirt;Black;50;12013,0;5879,0;6134,0;Москва (Центральный);7;2;11758,0
213;DIM46536;Coat;Pink;42;8811,0;5209,0;3602,0;Москва (Центральный);5;1;5209,0
214;EZT23857;Jacket;Black;46;11789,0;6420,0;5369,0;Москва (Центральный);8;0;0,0
215;HVJ69577;Skirt;Green;42;10854,0;6140,0;4714,0;Москва (Центральный);8;3;18420,0
216;RAM97757;Dress;Blue;46;1992,0;907,0;1085,0;Москва (Центральный);6;1;907,0
217;PEQ68160;Sweater;Navy Blue;48;7783,0;4178,0;3605,0;Москва (Центральный);8;2;8356,0
218;YCA31647;Shirt;White;52;10973,0;6282,0;4691,0;Москва (Центральный);8;0;0,0
219;XWT01236;Blouse;Blue;44;10562,0;5238,0;5324,0;Москва (Центральный);7;2;10476,0
220;NIE93377;Jacket;Brown;50;12489,0;6069,0;6420,0;Москва (Центральный);8;1;6069,0
221;QSP12529;Skirt;Brown;44;6312,0;3433,0;2879,0;Москва (Центральный);9;3;10299,0
222;HHF73397;Sweater;Beige;52;7835,0;4011,0;3824,0;Москва (Центральный);8;2;8022,0
223;HDR39898;Sweater;Yellow;46;13146,0;7870,0;5276,0;Москва (Центральный);10;1;7870,0
224;HHS34242;Shirt;Green;52;11956,0;5799,0;6157,0;Москва (Центральный);6;1;5799,0
225;OYS16526;Dress;Brown;50;8856,0;3854,0;5002,0;Москва (Центральный);7;1;3854,0
226;NQB47170;Blouse;Navy Blue;50;11178,0;5526,0;5652,0;Москва (Центральный);6;1;5526,0
227;OYK98419;Coat;Green;44;2281,0;1020,0;1261,0;Москва (Центральный);4;34;34680,0
228;IQX05579;Shirt;Beige;52;2308,0;1182,0;1126,0;Москва (Центральный);6;1;1182,0
229;XEW19934;Skirt;Navy Blue;48;8023,0;3411,0;4612,0;Москва (Центральный);9;1;3411,0
230;YZY80519;Jeans;Brown;40;11292,0;6662,0;4630,0;Москва (Центральный);7;1;6662,0
231;HZO49841;Jacket;Red;46;9254,0;5293,0;3961,0;Москва (Центральный);8;2;10586,0
232;CEL21775;Jeans;Pink;52;13021,0;5614,0;7407,0;Москва (Центральный);9;3;16842,0
233;TEW88506;Trousers;Purple;54;7472,0;3246,0;4226,0;Москва (Центральный);10;2;6492,0
234;EDI22279;Blouse;Beige;46;4099,0;2060,0;2039,0;Москва (Центральный);5;1;2060,0
235;HSA66013;Skirt;Black;48;991,0;550,0;441,0;Москва (Центральный);5;0;0,0
236;KNX73192;Skirt;White;40;3691,0;1638,0;2053,0;Москва (Центральный);4;7;11466,0
237;PFD17645;Coat;Beige;48;14645,0;6037,0;8608,0;Москва (Центральный);6;1;6037,0
238;MNR22780;Skirt;Navy Blue;40;12979,0;6608,0;6371,0;Москва (Центральный);9;2;13216,0
239;LSC50555;Coat;Navy Blue;52;6688,0;3600,0;3088,0;Москва (Центральный);4;20;72000,0
240;DIN12505;Dress;Navy Blue;42;1030,0;462,0;568,0;Москва (Центральный);4;12;5544,0
241;VLN40487;Dress;White;50;11745,0;6436,0;5309,0;Москва (Центральный);3;5;32180,0
242;KVT50309;Dress;Pink;46;6311,0;3724,0;2587,0;Москва (Центральный);7;1;3724,0
243;YBY04779;Dress;Grey;44;5348,0;2286,0;3062,0;Москва (Центральный);9;2;4572,0
244;QKZ38936;Blouse;Yellow;46;9838,0;4941,0;4897,0;Москва (Центральный);9;2;9882,0
245;ROQ31557;Trousers;Navy Blue;40;13071,0;5377,0;7694,0;Москва (Центральный);6;1;5377,0
246;FAA26558;Coat;Grey;54;4181,0;1845,0;2336,0;Москва (Центральный);7;1;1845,0
247;GJH97184;Sweater;Green;44;2010,0;840,0;1170,0;Москва (Центральный);4;17;14280,0
248;TWA21057;Dress;Navy Blue;44;8572,0;4121,0;4451,0;Москва (Центральный);3;18;74178,0
249;BTK22805;Sweater;Navy Blue;44;10973,0;6191,0;4782,0;Москва (Центральный);6;1;6191,0
250;HVT35633;Shirt;Pink;50;14194,0;7316,0;6878,0;Москва (Центральный);8;1;7316,0
251;DRF30989;Coat;Grey;54;13497,0;6000,0;7497,0;Москва (Центральный);5;1;6000,0
252;QLM99673;Dress;Red;48;3514,0;1434,0;2080,0;Москва (Центральный);7;0;0,0
253;KDJ74837;Blouse;Yellow;42;8954,0;4573,0;4381,0;Москва (Центральный);9;2;9146,0
254;UXO95122;Dress;Blue;42;12353,0;5269,0;7084,0;Москва (Центральный);6;2;10538,0
255;QXW07126;Trousers;Grey;46;5764,0;2701,0;3063,0;Москва (Центральный);4;39;105339,0
256;PWE77548;Jacket;Beige;48;5505,0;2764,0;2741,0;Москва (Центральный);7;1;2764,0
257;IYA99194;Blouse;Pink;40;14253,0;8277,0;5976,0;Москва (Центральный);7;0;0,0
258;GPF95735;Sweater;Grey;40;14788,0;6157,0;8631,0;Москва (Центральный);5;1;6157,0
259;JGN40948;Trousers;Beige;42;826,0;441,0;385,0;Москва (Центральный);4;10;4410,0
260;XJK52129;Jeans;Pink;44;4239,0;1708,0;2531,0;Москва (Центральный);6;2;3416,0
261;PKD33846;Shirt;White;48;2418,0;1272,0;1146,0;Москва (Центральный);9;1;1272,0
262;RGV96417;Skirt;Green;46;13757,0;7020,0;6737,0;Москва (Центральный);6;1;7020,0
263;ESM95600;Jeans;Black;40;4474,0;2516,0;1958,0;Москва (Центральный);11;3;7548,0
264;WYR74827;Skirt;Grey;42;12531,0;6345,0;6186,0;Москва (Центральный);12;2;12690,0
265;ANJ66644;Skirt;Beige;50;2485,0;1169,0;1316,0;Москва (Центральный);6;0;0,0
266;AOA52908;Sweater;Beige;52;4136,0;1855,0;2281,0;Москва (Центральный);4;30;55650,0
267;RUX10115;Dress;Yellow;42;6572,0;2741,0;3831,0;Москва (Центральный);4;10;27410,0
268;VGK34592;Trousers;Purple;44;2911,0;1476,0;1435,0;Москва (Центральный);9;2;2952,0
269;RWQ87035;Jacket;Brown;48;9246,0;5341,0;3905,0;Москва (Центральный);14;5;26705,0
270;BAE44758;Sweater;Blue;44;6839,0;3440,0;3399,0;Москва (Центральный);3;6;20640,0
