customer_id;age;gender;typical_size;city;club_member_status;registration_date
108;51;Unisex;56;Нижний Новгород;PREMIUM;2025-04-08
109;29;F;44;Екатеринбург;INACTIVE;2025-03-31
110;50;F;52;СПб;PREMIUM;2025-01-23
111;60;M;50;Нижний Новгород;INACTIVE;2025-04-05
112;40;F;48;Казань;PREMIUM;2025-02-22
113;29;F;56;Новосибирск;PREMIUM;2025-02-22
114;41;F;54;Москва;INACTIVE;2025-02-07
115;67;Unisex;54;Казань;ACTIVE;2025-03-20
116;63;F;40;Челябинск;PREMIUM;2025-01-13
117;55;F;44;Нижний Новгород;ACTIVE;2025-04-03
118;55;F;40;Казань;ACTIVE;2025-04-02
119;58;F;50;Екатеринбург;INACTIVE;2025-02-05
120;69;F;48;Новосибирск;ACTIVE;2025-01-25
121;49;F;44;Челябинск;INACTIVE;2025-02-26
122;40;M;48;Москва;ACTIVE;2025-03-21
123;47;M;40;СПб;INACTIVE;2025-02-04
124;63;F;40;Новосибирск;INACTIVE;2025-03-27
125;51;M;44;Екатеринбург;ACTIVE;2025-01-09
126;24;Unisex;44;Новосибирск;INACTIVE;2025-01-21
127;59;Unisex;50;Казань;ACTIVE;2025-03-27
128;45;F;48;Новосибирск;INACTIVE;2025-03-18
129;54;M;46;Москва;ACTIVE;2025-02-01
130;40;F;50;Новосибирск;ACTIVE;2025-03-23
131;20;F;56;Казань;INACTIVE;2025-02-01
132;42;F;46;Челябинск;ACTIVE;2025-03-22
133;66;M;50;Новосибирск;ACTIVE;2025-03-30
134;54;F;42;Москва;INACTIVE;2025-02-16
135;37;F;48;Нижний Новгород;ACTIVE;2025-01-28
136;63;Unisex;48;Екатеринбург;INACTIVE;2025-02-13
137;30;M;48;Екатеринбург;ACTIVE;2025-02-20
138;46;F;46;Казань;INACTIVE;2025-01-18
139;35;F;44;СПб;INACTIVE;2025-02-02
140;42;M;44;Казань;PREMIUM;2025-01-01
141;67;Unisex;40;Казань;ACTIVE;2025-03-02
142;54;F;52;Казань;ACTIVE;2025-01-03
143;22;F;52;Новосибирск;INACTIVE;2025-01-15
144;28;F;48;Екатеринбург;INACTIVE;2025-02-11
145;68;F;48;Москва;ACTIVE;2025-02-13
146;45;F;46;Казань;PREMIUM;2025-01-21
147;40;M;46;Екатеринбург;ACTIVE;2025-02-04
148;40;M;56;Казань;PREMIUM;2025-01-09
149;42;M;42;Казань;ACTIVE;2025-02-18
150;55;F;44;Казань;ACTIVE;2025-01-31
151;47;Unisex;52;Екатеринбург;INACTIVE;2025-01-05
152;40;F;54;Казань;INACTIVE;2025-01-07
153;53;F;44;СПб;INACTIVE;2025-03-27
154;59;F;50;Казань;ACTIVE;2025-02-16
155;19;M;42;Нижний Новгород;PREMIUM;2025-03-28
156;68;F;54;Челябинск;INACTIVE;2025-03-03
157;45;F;44;Новосибирск;INACTIVE;2025-03-27
158;61;F;44;Екатеринбург;PREMIUM;2025-03-10
159;68;M;50;Казань;ACTIVE;2025-03-22
160;56;F;54;Казань;ACTIVE;2025-02-28
161;69;F;48;Новосибирск;INACTIVE;2025-02-15
162;34;M;54;Екатеринбург;ACTIVE;2025-03-16
163;33;M;56;Казань;ACTIVE;2025-03-09
164;31;F;52;Екатеринбург;INACTIVE;2025-02-04
165;29;F;44;Екатеринбург;ACTIVE;2025-02-15
166;66;M;52;Челябинск;ACTIVE;2025-03-18
167;25;F;44;Новосибирск;PREMIUM;2025-01-21
168;28;M;46;Новосибирск;PREMIUM;2025-03-31
169;49;F;50;Казань;ACTIVE;2025-01-12
170;52;F;44;Новосибирск;ACTIVE;2025-01-19
171;68;M;48;Москва;INACTIVE;2025-03-12
172;56;F;56;Челябинск;ACTIVE;2025-01-06
173;35;Unisex;52;Нижний Новгород;ACTIVE;2025-02-19
174;40;M;40;Москва;ACTIVE;2025-01-15
175;56;F;46;Москва;ACTIVE;2025-01-11
176;47;F;44;Казань;ACTIVE;2025-02-12
177;61;F;52;Нижний Новгород;ACTIVE;2025-04-01
178;50;M;52;Екатеринбург;ACTIVE;2025-02-27
179;33;F;48;СПб;ACTIVE;2025-03-02
180;38;F;52;Москва;PREMIUM;2025-03-30
181;19;Unisex;56;Новосибирск;ACTIVE;2025-03-30
182;43;M;50;Челябинск;INACTIVE;2025-03-01
183;48;F;46;Казань;ACTIVE;2025-03-04
184;32;Unisex;54;Нижний Новгород;INACTIVE;2025-03-01
185;31;Unisex;54;Нижний Новгород;ACTIVE;2025-02-09
186;61;F;50;Новосибирск;INACTIVE;2025-03-06
187;66;F;54;Челябинск;ACTIVE;2025-02-07
188;48;F;40;СПб;PREMIUM;2025-01-02
189;43;F;48;Москва;PREMIUM;2025-04-05
190;24;F;54;Казань;ACTIVE;2025-03-27
191;62;F;40;Москва;ACTIVE;2025-02-07
192;49;F;50;Новосибирск;INACTIVE;2025-03-01
193;26;F;40;Новосибирск;INACTIVE;2025-04-05
194;57;F;40;Нижний Новгород;INACTIVE;2025-02-28
195;59;F;50;Москва;ACTIVE;2025-02-16
196;54;M;50;Нижний Новгород;ACTIVE;2025-04-02
197;53;F;54;Казань;PREMIUM;2025-03-26
198;66;M;56;Новосибирск;ACTIVE;2025-03-07
199;67;F;46;Казань;ACTIVE;2025-04-10
200;25;M;40;СПб;ACTIVE;2025-01-11
201;18;M;48;Казань;PREMIUM;2025-02-21
202;63;F;48;Новосибирск;PREMIUM;2025-03-27
203;24;F;42;Екатеринбург;ACTIVE;2025-03-14
204;62;F;52;Челябинск;INACTIVE;2025-01-02
205;38;F;40;Екатеринбург;ACTIVE;2025-03-13
206;21;F;44;Екатеринбург;ACTIVE;2025-04-04
207;41;F;46;Нижний Новгород;ACTIVE;2025-03-17
208;25;M;48;Нижний Новгород;ACTIVE;2025-01-30
209;49;Unisex;48;Екатеринбург;ACTIVE;2025-04-02
210;38;F;48;Казань;ACTIVE;2025-02-09
211;57;M;56;Новосибирск;ACTIVE;2025-01-26
212;43;F;42;Казань;PREMIUM;2025-03-14
213;67;F;40;Москва;ACTIVE;2025-02-04
214;53;F;50;Казань;PREMIUM;2025-03-15
215;37;F;40;Казань;PREMIUM;2025-04-09
216;25;F;54;Москва;ACTIVE;2025-01-19
217;24;M;52;Новосибирск;ACTIVE;2025-02-07
218;59;M;46;Москва;ACTIVE;2025-03-13
219;49;F;46;Казань;ACTIVE;2025-02-11
220;20;F;52;СПб;ACTIVE;2025-02-04
221;47;F;56;Новосибирск;PREMIUM;2025-03-17
222;34;F;40;Екатеринбург;ACTIVE;2025-03-28
223;20;F;52;Нижний Новгород;ACTIVE;2025-02-07
224;33;F;40;Москва;INACTIVE;2025-03-19
225;26;F;54;Казань;ACTIVE;2025-03-16
226;18;M;50;Новосибирск;INACTIVE;2025-04-01
227;68;M;44;СПб;ACTIVE;2025-02-23
228;69;F;56;Новосибирск;ACTIVE;2025-04-04
229;22;Unisex;42;Москва;ACTIVE;2025-03-09
230;22;M;54;Казань;ACTIVE;2025-01-06
231;54;F;50;Челябинск;ACTIVE;2025-04-01
232;59;F;52;Челябинск;INACTIVE;2025-01-26
233;40;F;46;Челябинск;INACTIVE;2025-01-12
234;63;F;50;Нижний Новгород;ACTIVE;2025-03-05
235;54;F;48;Казань;ACTIVE;2025-02-20
236;49;F;54;Челябинск;PREMIUM;2025-01-19
237;23;M;54;Москва;ACTIVE;2025-04-09
238;67;F;46;Москва;ACTIVE;2025-01-27
239;22;M;48;Казань;INACTIVE;2025-02-06
240;44;F;46;Новосибирск;INACTIVE;2025-03-29
241;42;F;46;Челябинск;PREMIUM;2025-03-30
242;65;F;56;Челябинск;INACTIVE;2025-03-16
243;56;F;40;Новосибирск;INACTIVE;2025-01-08
244;54;M;40;Нижний Новгород;INACTIVE;2025-01-04
245;49;F;52;Казань;ACTIVE;2025-03-13
246;19;F;50;Новосибирск;PREMIUM;2025-04-07
247;38;F;42;Екатеринбург;INACTIVE;2025-02-20
248;60;M;50;Новосибирск;INACTIVE;2025-03-09
249;33;M;56;СПб;INACTIVE;2025-02-25
250;56;F;44;Нижний Новгород;PREMIUM;2025-03-30
251;22;F;44;Нижний Новгород;PREMIUM;2025-03-27
252;69;F;50;Москва;INACTIVE;2025-04-01
253;21;F;42;Москва;ACTIVE;2025-01-22
254;65;F;48;Казань;INACTIVE;2025-03-09
255;29;F;56;Челябинск;ACTIVE;2025-02-20
256;37;F;54;Нижний Новгород;INACTIVE;2025-02-20
257;57;F;54;Новосибирск;PREMIUM;2025-01-18
258;51;M;48;Казань;ACTIVE;2025-03-25
259;18;F;52;Челябинск;INACTIVE;2025-04-01
260;62;M;52;Москва;ACTIVE;2025-03-18
261;47;F;52;Москва;ACTIVE;2025-01-29
262;39;M;40;Новосибирск;PREMIUM;2025-01-11
263;42;F;54;Екатеринбург;ACTIVE;2025-03-02
264;56;F;40;Казань;ACTIVE;2025-02-11
265;31;F;42;Екатеринбург;INACTIVE;2025-03-05
266;41;F;48;Нижний Новгород;ACTIVE;2025-01-14
267;32;F;48;Челябинск;ACTIVE;2025-03-21
268;46;F;42;Казань;INACTIVE;2025-02-07
269;35;M;56;СПб;INACTIVE;2025-01-04
270;37;F;42;Москва;INACTIVE;2025-03-31
271;39;M;42;Нижний Новгород;INACTIVE;2025-04-04
272;59;F;56;Челябинск;INACTIVE;2025-01-04
273;40;M;42;Екатеринбург;INACTIVE;2025-01-16
274;21;M;50;Москва;INACTIVE;2025-01-29
275;25;F;46;Казань;INACTIVE;2025-03-26
276;22;F;54;Нижний Новгород;ACTIVE;2025-02-07
277;54;F;50;Новосибирск;ACTIVE;2025-01-04
278;63;F;50;Екатеринбург;ACTIVE;2025-02-15
279;36;F;48;Москва;ACTIVE;2025-02-26
280;41;F;52;Екатеринбург;INACTIVE;2025-03-15
281;59;M;54;Новосибирск;INACTIVE;2025-01-27
282;55;F;56;Челябинск;PREMIUM;2025-03-11
283;18;F;56;Москва;PREMIUM;2025-03-10
284;27;F;46;Челябинск;INACTIVE;2025-03-29
285;26;M;56;Новосибирск;INACTIVE;2025-01-18
286;53;Unisex;40;Нижний Новгород;PREMIUM;2025-04-01
287;42;M;50;Нижний Новгород;ACTIVE;2025-02-08
288;57;F;50;Челябинск;PREMIUM;2025-01-29
289;29;F;54;Челябинск;ACTIVE;2025-02-16
290;24;Unisex;44;Челябинск;ACTIVE;2025-01-26
291;41;F;44;Москва;INACTIVE;2025-01-14
292;28;M;40;Новосибирск;ACTIVE;2025-03-21
293;64;Unisex;54;Москва;INACTIVE;2025-03-29
294;40;F;56;Челябинск;ACTIVE;2025-03-07
295;34;F;46;Москва;ACTIVE;2025-02-19
296;47;F;42;Нижний Новгород;ACTIVE;2025-01-03
297;53;M;50;Новосибирск;INACTIVE;2025-02-26
298;31;Unisex;48;СПб;ACTIVE;2025-01-01
299;57;F;42;Екатеринбург;INACTIVE;2025-01-14
300;66;Unisex;50;Казань;PREMIUM;2025-02-02
301;59;F;56;Челябинск;INACTIVE;2025-01-07
302;57;F;48;Казань;INACTIVE;2025-03-07
303;53;M;52;Казань;ACTIVE;2025-03-30
304;23;F;50;Москва;INACTIVE;2025-02-23
305;68;Unisex;42;Нижний Новгород;ACTIVE;2025-01-15
306;43;F;50;СПб;PREMIUM;2025-01-17
307;41;F;56;Екатеринбург;INACTIVE;2025-03-19
308;26;Unisex;52;Нижний Новгород;INACTIVE;2025-02-18
309;58;M;52;Челябинск;PREMIUM;2025-03-08
310;43;F;42;Казань;PREMIUM;2025-04-10
311;68;M;42;Екатеринбург;PREMIUM;2025-03-05
312;51;M;46;Екатеринбург;PREMIUM;2025-01-03
313;47;M;42;Москва;ACTIVE;2025-01-03
314;55;F;46;Новосибирск;PREMIUM;2025-01-24
315;43;M;54;Челябинск;PREMIUM;2025-02-15
316;66;F;42;Челябинск;ACTIVE;2025-03-20
317;26;F;54;Москва;ACTIVE;2025-01-21
318;22;Unisex;52;Москва;ACTIVE;2025-03-23
319;52;M;54;Челябинск;ACTIVE;2025-02-05
320;61;F;50;Казань;PREMIUM;2025-03-16
321;27;M;42;Казань;INACTIVE;2025-04-06
322;54;Unisex;48;Новосибирск;ACTIVE;2025-03-29
323;69;M;52;Казань;INACTIVE;2025-01-19
324;38;F;42;Новосибирск;ACTIVE;2025-03-18
325;29;M;44;Екатеринбург;INACTIVE;2025-02-16
326;69;F;52;Челябинск;PREMIUM;2025-01-26
327;25;F;52;Екатеринбург;INACTIVE;2025-04-05
328;69;M;48;Новосибирск;INACTIVE;2025-02-16
329;46;F;40;Казань;PREMIUM;2025-03-18
330;51;F;50;Нижний Новгород;ACTIVE;2025-01-29
331;52;F;56;Новосибирск;INACTIVE;2025-03-09
332;35;F;44;Казань;ACTIVE;2025-01-27
333;66;F;50;Москва;ACTIVE;2025-01-16
334;20;F;44;СПб;PREMIUM;2025-01-19
335;36;F;48;СПб;ACTIVE;2025-03-11
336;52;F;56;Новосибирск;PREMIUM;2025-01-17
337;35;Unisex;40;Нижний Новгород;PREMIUM;2025-01-15
338;28;Unisex;54;СПб;ACTIVE;2025-03-16
339;39;M;42;СПб;INACTIVE;2025-03-22
340;28;F;50;СПб;INACTIVE;2025-02-09
341;31;Unisex;56;Казань;ACTIVE;2025-03-09
342;23;F;50;Нижний Новгород;INACTIVE;2025-02-13
343;57;F;48;Новосибирск;PREMIUM;2025-03-27
344;30;F;56;Челябинск;PREMIUM;2025-01-10
345;67;F;44;Челябинск;ACTIVE;2025-01-31
346;58;F;52;СПб;PREMIUM;2025-02-07
347;38;M;44;Москва;INACTIVE;2025-03-23
348;49;Unisex;56;СПб;ACTIVE;2025-03-05
349;42;M;42;СПб;PREMIUM;2025-02-28
350;63;M;50;Москва;ACTIVE;2025-01-03
351;35;F;54;Нижний Новгород;INACTIVE;2025-01-17
352;48;F;40;Москва;PREMIUM;2025-03-18
353;18;M;48;Новосибирск;ACTIVE;2025-03-13
354;38;F;44;Нижний Новгород;PREMIUM;2025-03-03
355;47;M;46;Челябинск;ACTIVE;2025-02-11
356;43;F;50;СПб;PREMIUM;2025-01-15
357;41;F;44;Казань;ACTIVE;2025-02-23
358;27;F;52;Челябинск;ACTIVE;2025-03-22
359;47;F;48;Казань;INACTIVE;2025-01-02
360;61;F;44;СПб;PREMIUM;2025-02-13
361;22;F;44;Москва;ACTIVE;2025-02-10
362;53;F;52;Казань;ACTIVE;2025-01-01
363;66;Unisex;48;Челябинск;ACTIVE;2025-01-22
364;22;F;54;СПб;INACTIVE;2025-01-19
365;40;M;46;СПб;ACTIVE;2025-04-08
366;35;F;48;Нижний Новгород;INACTIVE;2025-03-03
367;18;F;48;Челябинск;ACTIVE;2025-03-19
368;18;F;46;Новосибирск;ACTIVE;2025-04-10
369;47;M;48;СПб;ACTIVE;2025-03-26
370;65;M;50;СПб;INACTIVE;2025-02-08
371;30;M;40;Москва;ACTIVE;2025-02-08
372;49;F;44;Челябинск;INACTIVE;2025-03-01
373;66;F;44;Казань;INACTIVE;2025-01-27
374;65;M;56;Челябинск;INACTIVE;2025-02-16
375;19;M;46;СПб;ACTIVE;2025-04-04
376;22;M;48;Новосибирск;INACTIVE;2025-03-10
377;25;M;50;СПб;ACTIVE;2025-01-01
378;47;M;40;Челябинск;ACTIVE;2025-01-08
379;50;F;54;Казань;ACTIVE;2025-02-21
380;65;F;46;Нижний Новгород;ACTIVE;2025-01-04
381;26;M;54;Челябинск;ACTIVE;2025-02-25
382;58;F;42;Москва;ACTIVE;2025-03-07
383;33;F;50;СПб;PREMIUM;2025-01-23
384;62;Unisex;54;Казань;INACTIVE;2025-01-22
385;26;F;50;Новосибирск;PREMIUM;2025-01-11
386;32;F;50;Новосибирск;ACTIVE;2025-04-07
387;40;F;46;Новосибирск;ACTIVE;2025-02-02
388;61;Unisex;46;Екатеринбург;INACTIVE;2025-03-22
389;46;F;54;Новосибирск;ACTIVE;2025-02-19
390;44;F;56;СПб;INACTIVE;2025-02-09
391;35;F;42;Екатеринбург;ACTIVE;2025-01-08
392;65;M;56;Москва;ACTIVE;2025-01-09
393;27;M;42;Новосибирск;ACTIVE;2025-01-30
394;36;F;54;Нижний Новгород;INACTIVE;2025-02-22
395;21;F;54;Нижний Новгород;ACTIVE;2025-02-08
396;56;M;52;Москва;INACTIVE;2025-02-25
397;42;M;52;Москва;PREMIUM;2025-01-21
398;57;M;50;Нижний Новгород;ACTIVE;2025-01-26
399;42;M;56;Челябинск;ACTIVE;2025-02-03
400;48;F;48;Казань;ACTIVE;2025-04-01
401;69;F;46;Казань;ACTIVE;2025-02-01
402;21;M;48;Нижний Новгород;INACTIVE;2025-02-02
403;42;M;40;Челябинск;PREMIUM;2025-01-27
404;40;F;56;СПб;ACTIVE;2025-02-13
405;60;F;52;Нижний Новгород;ACTIVE;2025-03-17
406;66;F;44;Екатеринбург;ACTIVE;2025-03-28
407;34;M;42;Москва;PREMIUM;2025-02-22
408;65;F;44;Москва;PREMIUM;2025-01-13
409;31;F;48;Новосибирск;PREMIUM;2025-02-01
410;51;F;40;Челябинск;PREMIUM;2025-01-11
411;40;F;48;Екатеринбург;ACTIVE;2025-03-25
412;27;F;56;СПб;INACTIVE;2025-01-02
413;49;F;40;Москва;INACTIVE;2025-03-06
414;30;F;48;СПб;PREMIUM;2025-04-04
415;19;F;48;Новосибирск;ACTIVE;2025-03-15
416;59;F;46;Казань;ACTIVE;2025-01-26
417;63;M;42;Екатеринбург;PREMIUM;2025-01-12
418;24;F;52;Нижний Новгород;PREMIUM;2025-01-21
419;40;M;50;СПб;ACTIVE;2025-03-14
420;21;F;54;Екатеринбург;INACTIVE;2025-03-27
421;52;F;52;Екатеринбург;PREMIUM;2025-02-27
422;36;Unisex;54;Нижний Новгород;INACTIVE;2025-02-16
423;57;F;54;СПб;ACTIVE;2025-02-24
424;51;Unisex;56;Нижний Новгород;INACTIVE;2025-04-03
425;31;F;48;Нижний Новгород;ACTIVE;2025-01-08
426;37;Unisex;52;Челябинск;ACTIVE;2025-03-08
427;52;Unisex;42;Нижний Новгород;INACTIVE;2025-04-10
428;42;F;40;Новосибирск;ACTIVE;2025-03-13
429;20;F;42;Челябинск;ACTIVE;2025-01-27
430;37;F;44;Казань;ACTIVE;2025-03-08
431;26;F;52;Челябинск;PREMIUM;2025-02-26
432;45;M;54;Москва;PREMIUM;2025-02-27
433;24;Unisex;48;СПб;INACTIVE;2025-03-23
434;54;Unisex;56;Челябинск;ACTIVE;2025-02-17
435;36;F;52;СПб;ACTIVE;2025-01-04
436;46;M;44;Екатеринбург;INACTIVE;2025-01-25
437;61;M;42;Екатеринбург;INACTIVE;2025-02-27
438;40;M;40;Новосибирск;INACTIVE;2025-01-31
439;58;Unisex;48;СПб;PREMIUM;2025-02-28
440;33;M;54;Нижний Новгород;PREMIUM;2025-02-11
441;42;M;42;Новосибирск;ACTIVE;2025-01-11
442;59;F;54;Нижний Новгород;ACTIVE;2025-03-18
443;45;Unisex;46;Челябинск;ACTIVE;2025-02-15
444;26;M;52;Москва;INACTIVE;2025-03-08
445;58;Unisex;48;Нижний Новгород;PREMIUM;2025-03-22
446;34;F;42;Казань;PREMIUM;2025-02-07
447;36;F;50;Челябинск;INACTIVE;2025-03-10
448;25;M;46;СПб;INACTIVE;2025-01-27
449;40;M;46;Екатеринбург;PREMIUM;2025-03-04
450;29;Unisex;50;Новосибирск;ACTIVE;2025-02-14
451;34;F;40;Челябинск;ACTIVE;2025-02-10
452;26;F;46;Екатеринбург;ACTIVE;2025-02-08
453;44;M;40;Нижний Новгород;INACTIVE;2025-02-27
454;38;F;44;Москва;ACTIVE;2025-01-26
455;69;F;48;Екатеринбург;INACTIVE;2025-01-04
456;40;M;46;Челябинск;ACTIVE;2025-02-17
457;45;M;52;СПб;ACTIVE;2025-04-03
458;55;Unisex;56;Челябинск;PREMIUM;2025-03-18
459;27;Unisex;42;Нижний Новгород;INACTIVE;2025-03-03
460;24;M;48;Новосибирск;ACTIVE;2025-02-19
461;53;F;50;Челябинск;INACTIVE;2025-03-06
462;25;F;42;Нижний Новгород;PREMIUM;2025-02-13
463;30;F;40;СПб;ACTIVE;2025-02-07
464;46;F;42;Екатеринбург;PREMIUM;2025-01-24
465;54;M;56;Новосибирск;ACTIVE;2025-03-04
466;63;F;52;Москва;ACTIVE;2025-02-26
467;56;F;50;Новосибирск;ACTIVE;2025-01-09
468;41;M;40;Казань;ACTIVE;2025-02-16
469;21;F;42;Казань;PREMIUM;2025-04-08
470;37;F;50;Нижний Новгород;INACTIVE;2025-01-06
471;23;M;50;Казань;ACTIVE;2025-04-06
472;47;M;46;Новосибирск;ACTIVE;2025-02-10
473;50;M;46;Москва;ACTIVE;2025-01-12
474;37;M;54;Екатеринбург;INACTIVE;2025-03-13
475;64;F;44;Челябинск;ACTIVE;2025-02-28
476;22;M;48;Екатеринбург;PREMIUM;2025-02-25
477;59;M;42;Новосибирск;INACTIVE;2025-02-17
478;64;F;56;Казань;ACTIVE;2025-01-23
479;59;F;44;Челябинск;ACTIVE;2025-02-25
480;38;F;46;Москва;INACTIVE;2025-02-13
481;57;F;54;Новосибирск;INACTIVE;2025-03-04
482;18;Unisex;40;Новосибирск;INACTIVE;2025-02-13
483;24;M;40;Новосибирск;INACTIVE;2025-03-16
484;65;F;44;Нижний Новгород;INACTIVE;2025-02-09
485;54;M;56;Екатеринбург;INACTIVE;2025-03-08
486;30;F;48;Челябинск;ACTIVE;2025-04-01
487;65;F;48;Челябинск;INACTIVE;2025-02-24
488;41;M;42;СПб;ACTIVE;2025-01-16
489;18;M;52;Екатеринбург;INACTIVE;2025-01-03
490;34;Unisex;46;Новосибирск;PREMIUM;2025-02-01
491;32;F;48;Казань;ACTIVE;2025-01-23
492;62;F;50;Казань;INACTIVE;2025-01-28
