model_id;revenue;total_margin;sales_count;product_type_name;colour_group_name;revenue_cumsum_pct;abc;cv;xyz;abc_xyz
Sweater_Navy Blue;8025969,0;4044036,0;967;Sweater;Navy Blue;27,053653192080084;A;24,27664856627536;Y;AY
Blouse_White;7962711,0;4016988,0;987;Blouse;White;28,076762386444827;A;22,42658570905376;X;AX
Dress_Blue;7928551,0;3902246,0;1063;Dress;Blue;29,09548244624478;A;24,182896925427563;Y;AY
Skirt_Blue;7928233,0;3815206,0;1020;Skirt;Blue;30,114161647005165;A;25,513563949507596;Y;AY
Coat_Blue;7815200,0;3898627,0;1032;Coat;Blue;31,118317515000292;A;22,142267978870684;X;AX
Jeans_Blue;7766264,0;3965824,0;1027;Jeans;Blue;32,11618571645378;A;23,235989325582036;X;AX
Jeans_Beige;7722064,0;3891902,0;886;Jeans;Beige;33,10837476838257;A;26,406011405669993;Z;AZ
Jeans_Red;7692018,0;3894678,0;1039;Jeans;Red;34,096703283510024;A;24,740003227208838;Y;AY
Shirt_Blue;7665937,0;3761990,0;1003;Shirt;Blue;35,081680714955276;A;22,273724924192866;X;AX
Skirt_Purple;7665080,0;3763962,0;966;Skirt;Purple;36,06654803257377;A;23,559766653174766;X;AX
Dress_Green;7654649,0;3741836,0;1022;Dress;Green;37,05007509660195;A;20,33295412197526;X;AX
Shirt_Black;7642948,0;3732896,0;927;Shirt;Black;38,03209872785663;A;23,550345605525376;X;AX
Blouse_Purple;7639700,0;3754975,0;943;Blouse;Purple;39,01370503156253;A;27,800258944158568;Z;AZ
Sweater_Brown;7581635,0;3907739,0;1029;Sweater;Brown;39,98785070592111;A;23,516773856973007;X;AX
Blouse_Green;7569296,0;3706120,0;1027;Blouse;Green;40,960410972451974;A;27,876344956052122;Z;AZ
Trousers_Grey;7568127,0;3714932,0;1012;Trousers;Grey;41,9328210370418;A;23,02604782160286;X;AX
Skirt_Pink;7564896,0;3784140,0;908;Skirt;Pink;42,90481595837111;A;24,687296990401165;Y;AY
Coat_Navy Blue;7549431,0;3781295,0;947;Coat;Navy Blue;43,874823819804504;A;23,216852595138686;X;AX
Jacket_White;7514574,0;3834073,0;962;Jacket;White;44,84035299085369;A;23,554735736484;X;AX
Blouse_Brown;7500809,0;3810923,0;922;Blouse;Brown;45,804113530834826;A;27,38305646435118;Z;AZ
Trousers_Beige;7489664,0;3812451,0;965;Trousers;Beige;46,76644207711795;A;22,69169786575978;X;AX
Sweater_Blue;7468160,0;3759897,0;954;Sweater;Blue;47,72600762721602;A;26,147104858399217;Z;AZ
Coat_White;7443635,0;3705370,0;997;Coat;White;48,68242202025316;A;24,84953599445847;Y;AY
Dress_Beige;7423979,0;3579060,0;873;Dress;Beige;49,636310862089914;A;24,922975071434696;Y;AY
Blouse_Yellow;7422097,0;3635997,0;927;Blouse;Yellow;50,589957890365454;A;27,713134741002456;Z;AZ
Blouse_Navy Blue;7399667,0;3710949,0;1123;Blouse;Navy Blue;51,54072294298852;A;18,013523450461335;X;AX
Shirt_Red;7368035,0;3658100,0;938;Shirt;Red;52,48742367756262;A;29,01079919869462;Z;AZ
Coat_Brown;7349645,0;3621052,0;1043;Coat;Brown;53,43176152616931;A;25,33592195690518;Y;AY
Jeans_Brown;7334613,0;3634927,0;976;Jeans;Brown;54,37416794998743;A;25,216577337968825;Y;AY
Sweater_Red;7318739,0;3720485,0;916;Sweater;Red;55,314534762503385;A;20,08674291890019;X;AX
Dress_Red;7300449,0;3438634,0;919;Dress;Red;56,252551537806525;A;26,104459103153598;Y;AY
Blouse_Beige;7287017,0;3641617,0;951;Blouse;Beige;57,188842468394384;A;24,410778703032314;Y;AY
Dress_Purple;7276417,0;3606849,0;899;Dress;Purple;58,12377143099668;A;29,6427445676545;Z;AZ
Dress_Pink;7180593,0;3786551,0;994;Dress;Pink;59,04638820300953;A;20,60926026341932;X;AX
Blouse_Red;7176853,0;3677763,0;856;Blouse;Red;59,96852443160103;A;25,80744708933028;Y;AY
Coat_Purple;7176797,0;3542881,0;968;Coat;Purple;60,890653464889986;A;26,012552596044543;Y;AY
Dress_Navy Blue;7129397,0;3566132,0;1060;Dress;Navy Blue;61,806692188507654;A;22,33957483421708;X;AX
Skirt_Beige;7092399,0;3495320,0;883;Skirt;Beige;62,71797712990554;A;24,56722080054879;Y;AY
Shirt_White;7033774,0;3489018,0;864;Shirt;White;63,621729488930455;A;28,31416911188761;Z;AZ
Jacket_Grey;7020315,0;3582436,0;897;Jacket;Grey;64,52375253407635;A;20,971793186074763;X;AX
Trousers_White;7014362,0;3470232,0;892;Trousers;White;65,42501069286205;A;29,488780372708778;Z;AZ
Sweater_Black;6945493,0;3447877,0;807;Sweater;Black;66,31742004285553;A;25,312197016157036;Y;AY
Coat_Black;6873341,0;3523055,0;1010;Coat;Black;67,20055875944391;A;26,413570344860716;Z;AZ
Skirt_Red;6853708,0;3409316,0;1003;Skirt;Red;68,08117488004544;A;28,071070484506645;Z;AZ
Jacket_Purple;6844163,0;3277193,0;969;Jacket;Purple;68,96056458702225;A;25,039360959224137;Y;AY
Skirt_Grey;6828775,0;3386962,0;920;Skirt;Grey;69,83797712764415;A;23,7419770550001;Y;AY
Sweater_Grey;6758499,0;3455961,0;910;Sweater;Grey;70,7063600774969;B;28,86116825367665;Z;BZ
Jeans_Black;6727715,0;3448219,0;977;Jeans;Black;71,5707876667395;B;23,85664131196131;Y;BY
Coat_Red;6706446,0;3369400,0;858;Coat;Red;72,43248245437033;B;24,060754655335526;Y;BY
Skirt_Navy Blue;6697270,0;3378689,0;956;Skirt;Navy Blue;73,29299824028082;B;25,552575649076566;Y;BY
Dress_Yellow;6677766,0;3267762,0;778;Dress;Yellow;74,15100800509789;B;27,688416047839965;Z;BZ
Blouse_Grey;6649332,0;3274271,0;860;Blouse;Grey;75,00536435503746;B;25,244076247980345;Y;BY
Blouse_Pink;6633753,0;3422014,0;885;Blouse;Pink;75,8577189975009;B;26,10634145547262;Y;BY
Coat_Yellow;6447020,0;3225712,0;806;Coat;Yellow;76,68608077507307;B;29,83038992982376;Z;BZ
Jacket_Beige;6444406,0;3339516,0;841;Jacket;Beige;77,51410668620048;B;28,501761268163868;Z;BZ
Shirt_Brown;6443485,0;3053012,0;929;Shirt;Brown;78,3420142602982;B;27,430078626705807;Z;BZ
Coat_Green;6377541,0;3221011,0;940;Coat;Green;79,1614488516752;B;23,108870991789395;X;BX
Jeans_White;6373705,0;3206464,0;883;Jeans;White;79,98039056482648;B;25,7559131163342;Y;BY
Skirt_Yellow;6372081,0;3259042,0;962;Skirt;Yellow;80,79912361420337;B;23,724319773307187;Y;BY
Jeans_Purple;6368253,0;3197474,0;863;Jeans;Purple;81,6173648132549;B;24,691950130924127;Y;BY
Coat_Pink;6354449,0;3228576,0;961;Coat;Pink;82,4338323702241;B;21,852237252861602;X;BX
Skirt_White;6326344,0;3199827,0;859;Skirt;White;83,24668878471839;B;22,81544741325471;X;BX
Jacket_Red;6317975,0;3056224,0;828;Jacket;Red;84,0584698869418;B;33,73869603673626;Z;BZ
Trousers_Navy Blue;6305975,0;3150791,0;889;Trousers;Navy Blue;84,86870913861554;B;23,5823760294779;X;BX
Skirt_Brown;6289836,0;3207517,0;714;Skirt;Brown;85,67687472978747;B;28,05738490172103;Z;BZ
Shirt_Pink;6221853,0;3063900,0;826;Shirt;Pink;86,47630535213278;B;27,092148073128442;Z;BZ
Dress_White;6202646,0;3049788,0;708;Dress;White;87,27326811418578;B;31,293519602545157;Z;BZ
Shirt_Navy Blue;6184117,0;3111488,0;846;Shirt;Navy Blue;88,06785013050249;B;24,820443441730074;Y;BY
Shirt_Yellow;6173713,0;3032831,0;792;Shirt;Yellow;88,86109536239262;B;28,905042456998288;Z;BZ
Trousers_Pink;6167579,0;3076223,0;751;Trousers;Pink;89,65355245167677;B;26,78517381769408;Z;BZ
Jeans_Navy Blue;6068819,0;3034093,0;816;Jeans;Navy Blue;90,43332011093696;C;26,65603161631867;Z;CZ
Sweater_Beige;6066996,0;3088684,0;857;Sweater;Beige;91,21285353740116;C;22,305673181658157;X;CX
Trousers_Blue;5971091,0;3006373,0;997;Trousers;Blue;91,98006436578467;C;25,211664911968263;Y;CY
Shirt_Purple;5921070,0;2839569,0;902;Shirt;Purple;92,74084811863935;C;23,23826608704905;X;CX
Blouse_Blue;5799068,0;2917786,0;764;Blouse;Blue;93,48595613393043;C;26,932834864082896;Z;CZ
Sweater_Green;5730520,0;2973980,0;679;Sweater;Green;94,22225658493147;C;30,328007598275242;Z;CZ
Trousers_Yellow;5703468,0;2900151,0;748;Trousers;Yellow;94,95508119084334;C;24,838982165761696;Y;CY
Jeans_Green;5689470,0;2914221,0;802;Jeans;Green;95,68610722808899;C;24,15479420315968;Y;CY
Jacket_Blue;5566038,0;2859530,0;860;Jacket;Blue;96,40127379058052;C;26,759853853459624;Z;CZ
Sweater_Purple;5440942,0;2723987,0;754;Sweater;Purple;97,10036707504172;C;26,953439648243748;Z;CZ
Trousers_Brown;5397625,0;2772411,0;766;Trousers;Brown;97,79389466448116;C;27,694707863821964;Z;CZ
Jacket_Navy Blue;5170892,0;2530343,0;698;Jacket;Navy Blue;98,45828988719704;C;29,194037971898553;Z;CZ
Blouse_Black;4778391,0;2405590,0;700;Blouse;Black;99,0722536196959;C;29,244919321524023;Z;CZ
Coat_Beige;4129535,0;2144174,0;594;Coat;Beige;99,60284743717224;C;31,929774205119926;Z;CZ
Jacket_Black;3090981,0;1581397,0;541;Jacket;Black;100,0;C;36,37602751585954;Z;CZ
