;customer_id;ltv;orders;total_margin;favorite_size;segment
69;73;19717,0;3;9200,0;42;Loyal (3-4 заказа)
70;74;26684,0;4;13437,0;42;Loyal (3-4 заказа)
71;75;9115,0;1;4707,0;40;New (1 заказ)
72;76;12070,0;3;5202,0;40;Loyal (3-4 заказа)
73;77;7055,0;2;3595,0;40;Regular (2 заказа)
74;78;23437,0;2;12598,0;42;Regular (2 заказа)
75;79;33246,0;3;16749,0;46;Loyal (3-4 заказа)
76;80;1615,0;1;818,0;42;New (1 заказ)
77;81;8311,0;1;3948,0;40;New (1 заказ)
78;83;26402,0;3;13798,0;54;Loyal (3-4 заказа)
79;85;18769,0;3;10269,0;44;Loyal (3-4 заказа)
80;86;10530,0;1;5785,0;48;New (1 заказ)
81;87;2418,0;1;1282,0;48;New (1 заказ)
82;88;12029,0;1;4834,0;52;New (1 заказ)
83;90;14075,0;1;6604,0;54;New (1 заказ)
84;91;6469,0;1;3422,0;48;New (1 заказ)
85;92;39702,0;5;18452,0;46;VIP (5+ заказов)
86;93;15952,0;2;8758,0;46;Regular (2 заказа)
87;94;16257,0;2;8501,0;40;Regular (2 заказа)
88;95;3929,0;1;1607,0;54;New (1 заказ)
89;96;8856,0;1;5002,0;50;New (1 заказ)
90;97;6267,0;2;3131,0;42;Regular (2 заказа)
91;98;22977,0;2;12325,0;40;Regular (2 заказа)
92;99;14473,0;2;7065,0;44;Regular (2 заказа)
93;100;926,0;1;553,0;46;New (1 заказ)
94;101;25036,0;3;12797,0;40;Loyal (3-4 заказа)
95;102;39933,0;4;21787,0;42;Loyal (3-4 заказа)
96;103;13123,0;1;5385,0;40;New (1 заказ)
97;104;16372,0;3;7040,0;44;Loyal (3-4 заказа)
98;105;37374,0;3;16188,0;42;Loyal (3-4 заказа)
99;106;7170,0;1;3209,0;54;New (1 заказ)
100;107;7070,0;3;3969,0;50;Loyal (3-4 заказа)
101;108;24908,0;3;11994,0;40;Loyal (3-4 заказа)
102;109;17569,0;2;8502,0;42;Regular (2 заказа)
103;110;15351,0;2;8285,0;48;Regular (2 заказа)
104;111;13417,0;2;7459,0;44;Regular (2 заказа)
105;112;14201,0;1;6152,0;54;New (1 заказ)
106;113;25134,0;2;12326,0;46;Regular (2 заказа)
107;114;6726,0;2;3212,0;46;Regular (2 заказа)
108;115;15212,0;2;8510,0;44;Regular (2 заказа)
109;116;13883,0;2;5994,0;46;Regular (2 заказа)
110;117;25728,0;3;12745,0;40;Loyal (3-4 заказа)
111;118;34330,0;3;16914,0;40;Loyal (3-4 заказа)
112;119;36083,0;5;16933,0;42;VIP (5+ заказов)
113;120;17227,0;2;7790,0;40;Regular (2 заказа)
114;122;13070,0;3;6312,0;42;Loyal (3-4 заказа)
115;124;11944,0;1;4801,0;44;New (1 заказ)
116;125;23846,0;4;12433,0;46;Loyal (3-4 заказа)
117;126;33806,0;5;16590,0;42;VIP (5+ заказов)
118;128;14827,0;2;8411,0;44;Regular (2 заказа)
119;129;23886,0;3;12840,0;40;Loyal (3-4 заказа)
120;130;6122,0;1;2625,0;48;New (1 заказ)
121;131;10929,0;1;4649,0;48;New (1 заказ)
122;132;32679,0;4;17736,0;40;Loyal (3-4 заказа)
123;133;20292,0;2;10150,0;48;Regular (2 заказа)
124;134;3021,0;1;1331,0;42;New (1 заказ)
125;135;53914,0;5;26962,0;40;VIP (5+ заказов)
126;136;8552,0;1;4813,0;40;New (1 заказ)
127;137;13734,0;2;7610,0;42;Regular (2 заказа)
128;138;10698,0;2;5330,0;44;Regular (2 заказа)
129;139;13725,0;1;8220,0;44;New (1 заказ)
130;140;31699,0;3;17953,0;40;Loyal (3-4 заказа)
131;141;9315,0;1;4976,0;50;New (1 заказ)
132;142;13339,0;2;6144,0;48;Regular (2 заказа)
133;143;14019,0;2;6787,0;48;Regular (2 заказа)
134;144;35736,0;5;17516,0;46;VIP (5+ заказов)
135;145;31005,0;4;15503,0;46;Loyal (3-4 заказа)
136;146;10250,0;1;5941,0;40;New (1 заказ)
137;147;19114,0;3;9299,0;44;Loyal (3-4 заказа)
138;148;10373,0;1;5724,0;50;New (1 заказ)
139;149;10606,0;1;4921,0;50;New (1 заказ)
140;150;59811,0;7;29306,0;50;VIP (5+ заказов)
141;151;6927,0;2;3670,0;42;Regular (2 заказа)
142;152;3187,0;2;1322,0;40;Regular (2 заказа)
143;153;13269,0;2;6664,0;46;Regular (2 заказа)
144;154;22000,0;2;11449,0;42;Regular (2 заказа)
145;155;31267,0;4;15436,0;42;Loyal (3-4 заказа)
146;156;28119,0;4;12654,0;40;Loyal (3-4 заказа)
147;157;5740,0;2;2903,0;40;Regular (2 заказа)
148;158;31469,0;3;16346,0;46;Loyal (3-4 заказа)
149;159;14007,0;1;6846,0;48;New (1 заказ)
150;160;11059,0;1;4568,0;46;New (1 заказ)
151;161;27611,0;4;14199,0;40;Loyal (3-4 заказа)
152;162;16837,0;2;9064,0;42;Regular (2 заказа)
153;163;15766,0;2;8095,0;46;Regular (2 заказа)
154;164;28530,0;3;13438,0;42;Loyal (3-4 заказа)
155;165;1136,0;1;598,0;48;New (1 заказ)
156;166;44955,0;4;23555,0;48;Loyal (3-4 заказа)
157;167;31700,0;3;16604,0;42;Loyal (3-4 заказа)
158;168;5036,0;1;2617,0;42;New (1 заказ)
159;170;14436,0;3;6819,0;42;Loyal (3-4 заказа)
160;171;7986,0;1;4439,0;40;New (1 заказ)
161;172;43990,0;4;20532,0;40;Loyal (3-4 заказа)
162;173;24406,0;2;12713,0;44;Regular (2 заказа)
163;175;23135,0;3;10315,0;46;Loyal (3-4 заказа)
164;176;29743,0;5;15625,0;46;VIP (5+ заказов)
165;178;10355,0;1;5940,0;42;New (1 заказ)
166;179;25257,0;4;11556,0;40;Loyal (3-4 заказа)
167;180;11437,0;1;5368,0;40;New (1 заказ)
168;182;41309,0;5;17718,0;40;VIP (5+ заказов)
169;183;8839,0;1;4269,0;54;New (1 заказ)
170;184;24329,0;2;12611,0;46;Regular (2 заказа)
171;185;35424,0;4;17867,0;48;Loyal (3-4 заказа)
172;188;7012,0;1;3189,0;50;New (1 заказ)
173;189;1197,0;1;612,0;40;New (1 заказ)
174;191;32857,0;5;16681,0;46;VIP (5+ заказов)
175;192;9463,0;1;5601,0;42;New (1 заказ)
176;193;29694,0;3;13410,0;44;Loyal (3-4 заказа)
177;195;25990,0;3;12497,0;50;Loyal (3-4 заказа)
178;196;17834,0;3;8265,0;52;Loyal (3-4 заказа)
179;197;13024,0;3;6122,0;46;Loyal (3-4 заказа)
180;198;12598,0;1;6968,0;46;New (1 заказ)
181;199;67672,0;7;30039,0;50;VIP (5+ заказов)
182;200;22358,0;3;11587,0;44;Loyal (3-4 заказа)
183;201;26072,0;3;10738,0;46;Loyal (3-4 заказа)
184;203;10836,0;2;5252,0;46;Regular (2 заказа)
185;204;26755,0;2;13591,0;44;Regular (2 заказа)
186;205;14228,0;2;7727,0;44;Regular (2 заказа)
187;206;14338,0;1;8336,0;52;New (1 заказ)
188;207;40182,0;4;19105,0;52;Loyal (3-4 заказа)
189;208;14038,0;1;6245,0;48;New (1 заказ)
190;209;26305,0;3;13471,0;50;Loyal (3-4 заказа)
191;210;14977,0;2;7478,0;50;Regular (2 заказа)
192;211;19045,0;3;9125,0;40;Loyal (3-4 заказа)
193;212;3823,0;1;1914,0;44;New (1 заказ)
194;214;14436,0;1;7927,0;44;New (1 заказ)
195;215;11950,0;3;6703,0;40;Loyal (3-4 заказа)
196;216;40557,0;3;20010,0;40;Loyal (3-4 заказа)
197;217;14348,0;1;7592,0;48;New (1 заказ)
198;218;33638,0;3;18240,0;40;Loyal (3-4 заказа)
199;221;11188,0;1;4882,0;46;New (1 заказ)
200;222;31358,0;3;14439,0;42;Loyal (3-4 заказа)
201;223;7131,0;1;3182,0;44;New (1 заказ)
202;224;8529,0;1;4783,0;48;New (1 заказ)
203;225;3643,0;1;1570,0;48;New (1 заказ)
204;226;4929,0;1;2856,0;48;New (1 заказ)
205;228;6575,0;2;3415,0;40;Regular (2 заказа)
206;229;2208,0;1;969,0;54;New (1 заказ)
207;230;18093,0;2;9093,0;42;Regular (2 заказа)
208;231;50811,0;4;25626,0;48;Loyal (3-4 заказа)
209;232;20542,0;3;10881,0;46;Loyal (3-4 заказа)
210;233;38214,0;7;19730,0;44;VIP (5+ заказов)
211;234;13827,0;2;5911,0;44;Regular (2 заказа)
212;235;30003,0;4;15490,0;40;Loyal (3-4 заказа)
213;236;6772,0;3;3500,0;48;Loyal (3-4 заказа)
214;237;44424,0;5;22518,0;44;VIP (5+ заказов)
215;238;11814,0;1;6920,0;48;New (1 заказ)
216;239;5320,0;1;2834,0;48;New (1 заказ)
217;240;12238,0;1;6488,0;46;New (1 заказ)
218;242;5458,0;1;2350,0;44;New (1 заказ)
219;243;16390,0;3;9210,0;40;Loyal (3-4 заказа)
220;244;19127,0;3;10756,0;44;Loyal (3-4 заказа)
221;245;16422,0;2;7537,0;50;Regular (2 заказа)
222;247;13064,0;2;7500,0;48;Regular (2 заказа)
223;249;21544,0;2;11010,0;48;Regular (2 заказа)
224;250;13720,0;2;6335,0;44;Regular (2 заказа)
225;252;13541,0;2;6784,0;48;Regular (2 заказа)
226;253;53876,0;6;29007,0;42;VIP (5+ заказов)
227;254;7688,0;1;4505,0;40;New (1 заказ)
228;255;16213,0;2;7957,0;44;Regular (2 заказа)
229;256;26338,0;3;14017,0;42;Loyal (3-4 заказа)
230;257;5717,0;1;3016,0;40;New (1 заказ)
231;258;45200,0;4;22375,0;40;Loyal (3-4 заказа)
232;259;20809,0;2;10846,0;42;Regular (2 заказа)
233;260;10817,0;2;5727,0;40;Regular (2 заказа)
234;261;13905,0;1;5922,0;42;New (1 заказ)
235;263;10841,0;1;5791,0;50;New (1 заказ)
236;264;27653,0;4;12959,0;48;Loyal (3-4 заказа)
237;265;6741,0;2;3032,0;52;Regular (2 заказа)
238;267;5297,0;1;2971,0;40;New (1 заказ)
239;268;690,0;1;301,0;48;New (1 заказ)
240;269;15035,0;2;8251,0;44;Regular (2 заказа)
241;271;52592,0;5;24101,0;40;VIP (5+ заказов)
242;272;23904,0;2;11908,0;46;Regular (2 заказа)
243;273;2066,0;1;863,0;42;New (1 заказ)
244;274;10977,0;3;4484,0;48;Loyal (3-4 заказа)
245;275;33392,0;4;16060,0;40;Loyal (3-4 заказа)
246;276;16068,0;2;6504,0;44;Regular (2 заказа)
247;277;1465,0;1;690,0;40;New (1 заказ)
248;278;18717,0;3;8727,0;42;Loyal (3-4 заказа)
249;279;17144,0;3;8162,0;42;Loyal (3-4 заказа)
250;280;8682,0;2;3722,0;40;Regular (2 заказа)
251;281;52347,0;4;27765,0;50;Loyal (3-4 заказа)
252;282;9988,0;2;4849,0;42;Regular (2 заказа)
253;283;10337,0;1;4473,0;44;New (1 заказ)
254;284;3366,0;1;1887,0;40;New (1 заказ)
255;285;23188,0;3;10279,0;42;Loyal (3-4 заказа)
256;287;27297,0;4;13628,0;40;Loyal (3-4 заказа)
257;288;19152,0;3;10049,0;40;Loyal (3-4 заказа)
258;289;20098,0;5;9433,0;50;VIP (5+ заказов)
259;290;6354,0;2;2806,0;42;Regular (2 заказа)
260;291;38756,0;4;19171,0;40;Loyal (3-4 заказа)
261;292;23482,0;3;12591,0;40;Loyal (3-4 заказа)
262;293;25594,0;3;12616,0;40;Loyal (3-4 заказа)
263;294;4626,0;1;2288,0;48;New (1 заказ)
264;295;28077,0;3;14480,0;44;Loyal (3-4 заказа)
265;296;3326,0;3;1650,0;42;Loyal (3-4 заказа)
266;297;20886,0;3;11044,0;40;Loyal (3-4 заказа)
267;298;11983,0;1;5489,0;44;New (1 заказ)
268;299;1911,0;1;938,0;44;New (1 заказ)
269;300;23823,0;4;12940,0;42;Loyal (3-4 заказа)
270;301;23208,0;3;11707,0;48;Loyal (3-4 заказа)
271;302;31374,0;4;16028,0;48;Loyal (3-4 заказа)
272;304;5532,0;1;2309,0;40;New (1 заказ)
273;305;18349,0;3;9917,0;46;Loyal (3-4 заказа)
274;306;18104,0;3;8071,0;44;Loyal (3-4 заказа)
275;308;506,0;1;222,0;50;New (1 заказ)
276;309;33844,0;4;16882,0;42;Loyal (3-4 заказа)
277;310;14647,0;2;6758,0;42;Regular (2 заказа)
278;311;21847,0;3;10486,0;44;Loyal (3-4 заказа)
279;312;12233,0;1;6163,0;48;New (1 заказ)
280;315;20102,0;2;9694,0;40;Regular (2 заказа)
281;316;10410,0;1;5828,0;50;New (1 заказ)
282;317;10166,0;1;4722,0;50;New (1 заказ)
283;318;16497,0;2;7974,0;50;Regular (2 заказа)
284;319;11018,0;2;6167,0;44;Regular (2 заказа)
285;320;4645,0;2;2131,0;48;Regular (2 заказа)
286;321;9425,0;1;4009,0;42;New (1 заказ)
287;322;8765,0;1;3958,0;48;New (1 заказ)
288;323;24231,0;3;10941,0;40;Loyal (3-4 заказа)
289;324;17388,0;2;9278,0;48;Regular (2 заказа)
290;325;14395,0;1;7599,0;44;New (1 заказ)
291;326;26988,0;4;13851,0;40;Loyal (3-4 заказа)
292;327;42356,0;6;22070,0;40;VIP (5+ заказов)
293;329;9820,0;1;4950,0;50;New (1 заказ)
294;330;13532,0;1;5929,0;50;New (1 заказ)
295;332;26408,0;4;13593,0;44;Loyal (3-4 заказа)
296;333;46535,0;4;22104,0;42;Loyal (3-4 заказа)
297;334;13568,0;1;7729,0;40;New (1 заказ)
298;335;21418,0;3;10441,0;40;Loyal (3-4 заказа)
299;336;21030,0;3;11126,0;40;Loyal (3-4 заказа)
300;337;36471,0;4;17762,0;50;Loyal (3-4 заказа)
301;338;35378,0;4;19312,0;40;Loyal (3-4 заказа)
302;339;9341,0;2;5236,0;50;Regular (2 заказа)
303;340;24275,0;2;12763,0;48;Regular (2 заказа)
304;341;21112,0;4;11917,0;42;Loyal (3-4 заказа)
305;342;29620,0;4;14870,0;40;Loyal (3-4 заказа)
306;343;12631,0;1;5085,0;50;New (1 заказ)
307;344;14091,0;1;6263,0;44;New (1 заказ)
308;345;14317,0;2;7038,0;50;Regular (2 заказа)
309;346;11086,0;1;5353,0;42;New (1 заказ)
310;347;22534,0;3;11218,0;46;Loyal (3-4 заказа)
311;348;8179,0;1;4084,0;42;New (1 заказ)
312;349;13887,0;1;6561,0;40;New (1 заказ)
313;350;8247,0;2;3747,0;48;Regular (2 заказа)
314;351;2050,0;1;959,0;54;New (1 заказ)
315;352;22292,0;2;11808,0;42;Regular (2 заказа)
316;353;40644,0;4;19604,0;40;Loyal (3-4 заказа)
317;354;22539,0;4;11010,0;40;Loyal (3-4 заказа)
318;355;41726,0;5;20411,0;44;VIP (5+ заказов)
319;356;7473,0;2;4113,0;44;Regular (2 заказа)
320;358;2274,0;1;1230,0;40;New (1 заказ)
321;360;9187,0;1;5507,0;52;New (1 заказ)
322;362;12812,0;1;5130,0;44;New (1 заказ)
323;363;31083,0;3;15555,0;44;Loyal (3-4 заказа)
324;364;10479,0;2;5201,0;46;Regular (2 заказа)
325;366;40457,0;4;21233,0;40;Loyal (3-4 заказа)
326;367;22793,0;5;11449,0;40;VIP (5+ заказов)
327;368;7895,0;1;3339,0;46;New (1 заказ)
328;369;48239,0;4;25215,0;40;Loyal (3-4 заказа)
329;370;15205,0;2;8419,0;46;Regular (2 заказа)
330;371;34479,0;6;15267,0;48;VIP (5+ заказов)
331;372;28190,0;3;13741,0;48;Loyal (3-4 заказа)
332;373;23855,0;3;12456,0;40;Loyal (3-4 заказа)
333;374;12392,0;1;6859,0;50;New (1 заказ)
334;375;33055,0;3;16322,0;40;Loyal (3-4 заказа)
335;376;22945,0;3;10972,0;42;Loyal (3-4 заказа)
336;377;32834,0;4;15454,0;50;Loyal (3-4 заказа)
337;379;8618,0;1;4557,0;52;New (1 заказ)
338;380;13503,0;1;5990,0;48;New (1 заказ)
339;381;39039,0;5;19136,0;40;VIP (5+ заказов)
340;382;26401,0;2;12409,0;50;Regular (2 заказа)
341;383;19670,0;2;8727,0;50;Regular (2 заказа)
342;384;20505,0;2;9611,0;44;Regular (2 заказа)
343;385;38487,0;3;19064,0;42;Loyal (3-4 заказа)
344;386;14192,0;1;6125,0;56;New (1 заказ)
345;387;12385,0;1;5570,0;46;New (1 заказ)
346;388;19031,0;2;10435,0;40;Regular (2 заказа)
347;389;12805,0;2;7013,0;40;Regular (2 заказа)
348;390;44205,0;5;23056,0;46;VIP (5+ заказов)
349;391;6251,0;1;3531,0;40;New (1 заказ)
350;392;3338,0;1;1569,0;50;New (1 заказ)
351;393;14817,0;2;7461,0;44;Regular (2 заказа)
352;394;13468,0;2;7002,0;50;Regular (2 заказа)
353;395;11880,0;2;5160,0;42;Regular (2 заказа)
354;396;7753,0;1;3191,0;46;New (1 заказ)
355;399;15766,0;2;9020,0;40;Regular (2 заказа)
356;400;12718,0;2;5763,0;40;Regular (2 заказа)
357;401;2492,0;1;1388,0;42;New (1 заказ)
358;402;4629,0;2;2597,0;50;Regular (2 заказа)
359;403;22693,0;3;11510,0;40;Loyal (3-4 заказа)
360;404;3935,0;1;2299,0;50;New (1 заказ)
361;405;13068,0;1;7799,0;46;New (1 заказ)
362;406;11011,0;1;5075,0;52;New (1 заказ)
363;407;34608,0;4;16218,0;40;Loyal (3-4 заказа)
364;408;21072,0;4;9950,0;50;Loyal (3-4 заказа)
365;409;27426,0;3;15597,0;42;Loyal (3-4 заказа)
366;410;5209,0;1;2848,0;56;New (1 заказ)
367;411;24542,0;3;11060,0;46;Loyal (3-4 заказа)
368;412;32992,0;4;16447,0;40;Loyal (3-4 заказа)
369;413;7816,0;1;4125,0;50;New (1 заказ)
370;414;19750,0;2;9025,0;40;Regular (2 заказа)
371;416;26286,0;3;12833,0;40;Loyal (3-4 заказа)
372;418;25829,0;3;13257,0;48;Loyal (3-4 заказа)
373;419;7991,0;1;3227,0;40;New (1 заказ)
374;420;12484,0;1;7446,0;44;New (1 заказ)
375;422;25268,0;4;12799,0;42;Loyal (3-4 заказа)
376;423;43829,0;4;21853,0;44;Loyal (3-4 заказа)
377;424;2446,0;1;1225,0;50;New (1 заказ)
378;425;22478,0;2;11011,0;42;Regular (2 заказа)
379;427;45078,0;6;22457,0;44;VIP (5+ заказов)
380;428;5753,0;1;2355,0;48;New (1 заказ)
381;429;29145,0;3;14143,0;40;Loyal (3-4 заказа)
382;430;4786,0;1;2164,0;40;New (1 заказ)
383;431;6933,0;2;2824,0;42;Regular (2 заказа)
384;432;14148,0;2;7998,0;42;Regular (2 заказа)
385;433;4692,0;2;2353,0;40;Regular (2 заказа)
386;435;24742,0;3;13491,0;42;Loyal (3-4 заказа)
387;436;30664,0;3;15800,0;40;Loyal (3-4 заказа)
388;437;55851,0;7;29579,0;42;VIP (5+ заказов)
389;439;27387,0;3;13791,0;46;Loyal (3-4 заказа)
390;440;16284,0;2;8675,0;46;Regular (2 заказа)
391;441;25840,0;3;14778,0;50;Loyal (3-4 заказа)
392;442;10707,0;2;5505,0;40;Regular (2 заказа)
393;443;18121,0;2;8481,0;46;Regular (2 заказа)
394;444;634,0;1;282,0;56;New (1 заказ)
395;445;8073,0;1;3870,0;46;New (1 заказ)
396;446;17601,0;2;10111,0;42;Regular (2 заказа)
397;447;6228,0;3;3194,0;40;Loyal (3-4 заказа)
398;448;19031,0;5;10027,0;44;VIP (5+ заказов)
399;449;56786,0;6;27034,0;56;VIP (5+ заказов)
400;450;45374,0;6;24026,0;42;VIP (5+ заказов)
401;451;6565,0;1;3503,0;46;New (1 заказ)
402;452;565,0;1;292,0;40;New (1 заказ)
403;453;10052,0;1;5787,0;52;New (1 заказ)
404;454;52283,0;6;26076,0;46;VIP (5+ заказов)
405;455;37425,0;4;20931,0;40;Loyal (3-4 заказа)
406;456;18410,0;3;8814,0;44;Loyal (3-4 заказа)
407;457;21917,0;3;11029,0;42;Loyal (3-4 заказа)
408;458;23605,0;4;13222,0;48;Loyal (3-4 заказа)
409;460;19133,0;4;9085,0;40;Loyal (3-4 заказа)
410;461;40188,0;4;19735,0;40;Loyal (3-4 заказа)
411;462;4220,0;1;2362,0;50;New (1 заказ)
412;463;17011,0;2;7153,0;44;Regular (2 заказа)
413;465;8792,0;2;3927,0;46;Regular (2 заказа)
414;466;20159,0;2;10084,0;42;Regular (2 заказа)
415;467;33996,0;3;16296,0;48;Loyal (3-4 заказа)
416;468;14935,0;1;8601,0;50;New (1 заказ)
417;470;15552,0;2;7274,0;40;Regular (2 заказа)
418;471;17554,0;3;9603,0;42;Loyal (3-4 заказа)
419;472;19711,0;3;9019,0;42;Loyal (3-4 заказа)
420;473;13784,0;2;6304,0;44;Regular (2 заказа)
421;474;25398,0;4;12970,0;44;Loyal (3-4 заказа)
422;475;28367,0;4;13764,0;46;Loyal (3-4 заказа)
423;476;18434,0;2;8555,0;46;Regular (2 заказа)
424;477;22858,0;2;9291,0;48;Regular (2 заказа)
425;478;17324,0;2;8961,0;40;Regular (2 заказа)
426;479;14462,0;3;7946,0;50;Loyal (3-4 заказа)
427;480;6430,0;2;3121,0;44;Regular (2 заказа)
428;481;26329,0;3;13662,0;44;Loyal (3-4 заказа)
429;482;22945,0;3;11897,0;44;Loyal (3-4 заказа)
430;483;18781,0;2;8688,0;50;Regular (2 заказа)
431;484;4120,0;1;2299,0;42;New (1 заказ)
432;485;13264,0;1;7468,0;50;New (1 заказ)
433;486;3467,0;1;1813,0;44;New (1 заказ)
434;487;9133,0;1;4504,0;48;New (1 заказ)
435;488;22987,0;2;10205,0;44;Regular (2 заказа)
436;489;6166,0;1;2845,0;46;New (1 заказ)
437;490;3872,0;2;2046,0;46;Regular (2 заказа)
438;491;1592,0;1;918,0;54;New (1 заказ)
439;492;47768,0;4;19746,0;48;Loyal (3-4 заказа)
440;493;12702,0;2;5675,0;48;Regular (2 заказа)
441;494;19704,0;3;9754,0;46;Loyal (3-4 заказа)
442;495;17324,0;3;9335,0;42;Loyal (3-4 заказа)
443;496;10023,0;3;5079,0;46;Loyal (3-4 заказа)
444;497;6243,0;1;3745,0;44;New (1 заказ)
445;498;7745,0;2;4043,0;46;Regular (2 заказа)
446;499;37710,0;4;17614,0;48;Loyal (3-4 заказа)
447;500;15049,0;2;6305,0;42;Regular (2 заказа)
448;501;16763,0;2;9965,0;46;Regular (2 заказа)
449;502;35248,0;4;17376,0;46;Loyal (3-4 заказа)
450;503;20212,0;4;11517,0;46;Loyal (3-4 заказа)
451;504;17769,0;2;8502,0;42;Regular (2 заказа)
452;505;5979,0;1;3540,0;44;New (1 заказ)
453;506;67078,0;6;34692,0;42;VIP (5+ заказов)
454;507;5758,0;2;2699,0;44;Regular (2 заказа)
455;508;21469,0;3;11610,0;42;Loyal (3-4 заказа)
456;509;30803,0;3;15233,0;40;Loyal (3-4 заказа)
457;510;19296,0;3;10804,0;40;Loyal (3-4 заказа)
458;511;13332,0;3;6240,0;40;Loyal (3-4 заказа)
459;513;12734,0;1;6351,0;48;New (1 заказ)
460;514;14725,0;1;7163,0;50;New (1 заказ)
461;515;32960,0;4;16732,0;46;Loyal (3-4 заказа)
462;516;9383,0;2;4544,0;48;Regular (2 заказа)
463;517;9967,0;2;4341,0;48;Regular (2 заказа)
464;518;4740,0;1;2027,0;40;New (1 заказ)
465;519;21791,0;2;9348,0;46;Regular (2 заказа)
466;520;21192,0;2;10874,0;40;Regular (2 заказа)
467;521;9221,0;2;4522,0;42;Regular (2 заказа)
468;522;16000,0;3;8799,0;48;Loyal (3-4 заказа)
469;523;7082,0;1;4229,0;42;New (1 заказ)
470;524;10430,0;2;4572,0;50;Regular (2 заказа)
471;525;13034,0;2;6989,0;44;Regular (2 заказа)
472;526;15633,0;2;8500,0;48;Regular (2 заказа)
